#           k/h    P           
    0.54502E-05    0.15983E+02
    0.56350E-05    0.16504E+02
    0.58260E-05    0.17042E+02
    0.60234E-05    0.17597E+02
    0.62276E-05    0.18170E+02
    0.64387E-05    0.18762E+02
    0.66569E-05    0.19374E+02
    0.68826E-05    0.20005E+02
    0.71159E-05    0.20657E+02
    0.73571E-05    0.21330E+02
    0.76064E-05    0.22025E+02
    0.78642E-05    0.22743E+02
    0.81308E-05    0.23484E+02
    0.84064E-05    0.24249E+02
    0.86913E-05    0.25039E+02
    0.89859E-05    0.25855E+02
    0.92905E-05    0.26697E+02
    0.96054E-05    0.27567E+02
    0.99310E-05    0.28465E+02
    0.10268E-04    0.29393E+02
    0.10616E-04    0.30350E+02
    0.10975E-04    0.31339E+02
    0.11347E-04    0.32360E+02
    0.11732E-04    0.33415E+02
    0.12130E-04    0.34503E+02
    0.12541E-04    0.35628E+02
    0.12966E-04    0.36789E+02
    0.13405E-04    0.37987E+02
    0.13860E-04    0.39225E+02
    0.14330E-04    0.40503E+02
    0.14815E-04    0.41823E+02
    0.15317E-04    0.43185E+02
    0.15837E-04    0.44592E+02
    0.16373E-04    0.46045E+02
    0.16928E-04    0.47546E+02
    0.17502E-04    0.49095E+02
    0.18095E-04    0.50694E+02
    0.18709E-04    0.52346E+02
    0.19343E-04    0.54052E+02
    0.19999E-04    0.55813E+02
    0.20676E-04    0.57631E+02
    0.21377E-04    0.59509E+02
    0.22102E-04    0.61448E+02
    0.22851E-04    0.63450E+02
    0.23625E-04    0.65518E+02
    0.24426E-04    0.67652E+02
    0.25254E-04    0.69856E+02
    0.26110E-04    0.72132E+02
    0.26995E-04    0.74483E+02
    0.27910E-04    0.76909E+02
    0.28856E-04    0.79415E+02
    0.29834E-04    0.82003E+02
    0.30846E-04    0.84675E+02
    0.31891E-04    0.87433E+02
    0.32972E-04    0.90282E+02
    0.34090E-04    0.93224E+02
    0.35245E-04    0.96261E+02
    0.36440E-04    0.99397E+02
    0.37675E-04    0.10264E+03
    0.38952E-04    0.10598E+03
    0.40272E-04    0.10943E+03
    0.41637E-04    0.11300E+03
    0.43048E-04    0.11668E+03
    0.44508E-04    0.12048E+03
    0.46016E-04    0.12441E+03
    0.47576E-04    0.12846E+03
    0.49188E-04    0.13264E+03
    0.50856E-04    0.13697E+03
    0.52580E-04    0.14143E+03
    0.54362E-04    0.14603E+03
    0.56204E-04    0.15079E+03
    0.58109E-04    0.15570E+03
    0.60079E-04    0.16078E+03
    0.62115E-04    0.16602E+03
    0.64221E-04    0.17142E+03
    0.66398E-04    0.17701E+03
    0.68648E-04    0.18277E+03
    0.70975E-04    0.18873E+03
    0.73381E-04    0.19488E+03
    0.75868E-04    0.20122E+03
    0.78439E-04    0.20778E+03
    0.81098E-04    0.21455E+03
    0.83847E-04    0.22153E+03
    0.86689E-04    0.22875E+03
    0.89627E-04    0.23620E+03
    0.92665E-04    0.24389E+03
    0.95806E-04    0.25184E+03
    0.99053E-04    0.26004E+03
    0.10241E-03    0.26851E+03
    0.10588E-03    0.27725E+03
    0.10947E-03    0.28628E+03
    0.11318E-03    0.29560E+03
    0.11702E-03    0.30523E+03
    0.12098E-03    0.31517E+03
    0.12508E-03    0.32543E+03
    0.12932E-03    0.33602E+03
    0.13371E-03    0.34696E+03
    0.13824E-03    0.35826E+03
    0.14293E-03    0.36992E+03
    0.14777E-03    0.38196E+03
    0.15278E-03    0.39439E+03
    0.15796E-03    0.40723E+03
    0.16331E-03    0.42048E+03
    0.16885E-03    0.43416E+03
    0.17457E-03    0.44829E+03
    0.18049E-03    0.46287E+03
    0.18660E-03    0.47793E+03
    0.19293E-03    0.49347E+03
    0.19947E-03    0.50952E+03
    0.20623E-03    0.52609E+03
    0.21322E-03    0.54320E+03
    0.22045E-03    0.56086E+03
    0.22792E-03    0.57909E+03
    0.23565E-03    0.59791E+03
    0.24363E-03    0.61734E+03
    0.25189E-03    0.63739E+03
    0.26043E-03    0.65810E+03
    0.26926E-03    0.67947E+03
    0.27838E-03    0.70153E+03
    0.28782E-03    0.72430E+03
    0.29757E-03    0.74781E+03
    0.30766E-03    0.77207E+03
    0.31809E-03    0.79711E+03
    0.32887E-03    0.82296E+03
    0.34002E-03    0.84963E+03
    0.35154E-03    0.87717E+03
    0.36346E-03    0.90558E+03
    0.37578E-03    0.93490E+03
    0.38851E-03    0.96516E+03
    0.40168E-03    0.99638E+03
    0.41530E-03    0.10286E+04
    0.42937E-03    0.10619E+04
    0.44393E-03    0.10962E+04
    0.45897E-03    0.11315E+04
    0.47453E-03    0.11681E+04
    0.49062E-03    0.12057E+04
    0.50724E-03    0.12446E+04
    0.52444E-03    0.12847E+04
    0.54221E-03    0.13260E+04
    0.56059E-03    0.13687E+04
    0.57959E-03    0.14126E+04
    0.59924E-03    0.14580E+04
    0.61955E-03    0.15048E+04
    0.64055E-03    0.15530E+04
    0.66226E-03    0.16027E+04
    0.68471E-03    0.16540E+04
    0.70792E-03    0.17068E+04
    0.73191E-03    0.17613E+04
    0.75672E-03    0.18174E+04
    0.78237E-03    0.18753E+04
    0.80889E-03    0.19349E+04
    0.83631E-03    0.19963E+04
    0.86465E-03    0.20596E+04
    0.89396E-03    0.21248E+04
    0.92426E-03    0.21920E+04
    0.95559E-03    0.22612E+04
    0.98798E-03    0.23324E+04
    0.10215E-02    0.24057E+04
    0.10561E-02    0.24812E+04
    0.10919E-02    0.25590E+04
    0.11289E-02    0.26390E+04
    0.11672E-02    0.27213E+04
    0.12067E-02    0.28060E+04
    0.12476E-02    0.28931E+04
    0.12899E-02    0.29827E+04
    0.13336E-02    0.30749E+04
    0.13788E-02    0.31697E+04
    0.14256E-02    0.32671E+04
    0.14739E-02    0.33672E+04
    0.15238E-02    0.34701E+04
    0.15755E-02    0.35757E+04
    0.16289E-02    0.36843E+04
    0.16841E-02    0.37957E+04
    0.17412E-02    0.39102E+04
    0.18002E-02    0.40276E+04
    0.18612E-02    0.41480E+04
    0.19243E-02    0.42716E+04
    0.19895E-02    0.43983E+04
    0.20570E-02    0.45282E+04
    0.21267E-02    0.46614E+04
    0.21988E-02    0.47977E+04
    0.22733E-02    0.49374E+04
    0.23504E-02    0.50804E+04
    0.24300E-02    0.52267E+04
    0.25124E-02    0.53763E+04
    0.25976E-02    0.55294E+04
    0.26856E-02    0.56858E+04
    0.27766E-02    0.58456E+04
    0.28707E-02    0.60088E+04
    0.29680E-02    0.61754E+04
    0.30687E-02    0.63454E+04
    0.31727E-02    0.65187E+04
    0.32802E-02    0.66954E+04
    0.33914E-02    0.68753E+04
    0.35063E-02    0.70585E+04
    0.36252E-02    0.72449E+04
    0.37481E-02    0.74344E+04
    0.38751E-02    0.76270E+04
    0.40064E-02    0.78225E+04
    0.41422E-02    0.80210E+04
    0.42826E-02    0.82222E+04
    0.44278E-02    0.84261E+04
    0.45779E-02    0.86326E+04
    0.47331E-02    0.88414E+04
    0.48935E-02    0.90525E+04
    0.50593E-02    0.92657E+04
    0.52308E-02    0.94807E+04
    0.54081E-02    0.96975E+04
    0.55914E-02    0.99156E+04
    0.57810E-02    0.10135E+05
    0.59769E-02    0.10355E+05
    0.61795E-02    0.10576E+05
    0.63890E-02    0.10798E+05
    0.66055E-02    0.11020E+05
    0.68294E-02    0.11241E+05
    0.70609E-02    0.11462E+05
    0.73002E-02    0.11681E+05
    0.75477E-02    0.11900E+05
    0.78035E-02    0.12116E+05
    0.80680E-02    0.12331E+05
    0.83415E-02    0.12543E+05
    0.86242E-02    0.12751E+05
    0.89165E-02    0.12956E+05
    0.92187E-02    0.13156E+05
    0.95312E-02    0.13352E+05
    0.98543E-02    0.13543E+05
    0.10188E-01    0.13727E+05
    0.10534E-01    0.13905E+05
    0.10891E-01    0.14075E+05
    0.11260E-01    0.14238E+05
    0.11641E-01    0.14392E+05
    0.12036E-01    0.14536E+05
    0.12444E-01    0.14671E+05
    0.12866E-01    0.14794E+05
    0.13302E-01    0.14906E+05
    0.13753E-01    0.15005E+05
    0.14219E-01    0.15092E+05
    0.14701E-01    0.15164E+05
    0.15199E-01    0.15221E+05
    0.15714E-01    0.15263E+05
    0.16247E-01    0.15289E+05
    0.16798E-01    0.15298E+05
    0.17367E-01    0.15290E+05
    0.17956E-01    0.15263E+05
    0.18564E-01    0.15217E+05
    0.19194E-01    0.15153E+05
    0.19844E-01    0.15068E+05
    0.20517E-01    0.14964E+05
    0.21212E-01    0.14839E+05
    0.21931E-01    0.14695E+05
    0.22674E-01    0.14530E+05
    0.23443E-01    0.14346E+05
    0.24238E-01    0.14142E+05
    0.25059E-01    0.13919E+05
    0.25909E-01    0.13679E+05
    0.26787E-01    0.13421E+05
    0.27695E-01    0.13148E+05
    0.28633E-01    0.12860E+05
    0.29604E-01    0.12559E+05
    0.30607E-01    0.12248E+05
    0.31645E-01    0.11928E+05
    0.32717E-01    0.11601E+05
    0.33826E-01    0.11269E+05
    0.34973E-01    0.10936E+05
    0.36158E-01    0.10603E+05
    0.37384E-01    0.10274E+05
    0.38651E-01    0.99494E+04
    0.39961E-01    0.96333E+04
    0.41316E-01    0.93273E+04
    0.42716E-01    0.90336E+04
    0.44164E-01    0.87537E+04
    0.45661E-01    0.84892E+04
    0.47208E-01    0.82409E+04
    0.48809E-01    0.80092E+04
    0.50463E-01    0.77942E+04
    0.52173E-01    0.75950E+04
    0.53942E-01    0.74102E+04
    0.55770E-01    0.72380E+04
    0.57660E-01    0.70755E+04
