#           k/h    P           
    0.54502E-05    0.35482E+00
    0.56350E-05    0.36638E+00
    0.58260E-05    0.37832E+00
    0.60234E-05    0.39064E+00
    0.62276E-05    0.40337E+00
    0.64387E-05    0.41652E+00
    0.66569E-05    0.43009E+00
    0.68826E-05    0.44410E+00
    0.71159E-05    0.45857E+00
    0.73571E-05    0.47351E+00
    0.76064E-05    0.48894E+00
    0.78642E-05    0.50487E+00
    0.81308E-05    0.52132E+00
    0.84064E-05    0.53831E+00
    0.86913E-05    0.55585E+00
    0.89859E-05    0.57396E+00
    0.92905E-05    0.59266E+00
    0.96054E-05    0.61197E+00
    0.99310E-05    0.63191E+00
    0.10268E-04    0.65250E+00
    0.10616E-04    0.67376E+00
    0.10975E-04    0.69571E+00
    0.11347E-04    0.71838E+00
    0.11732E-04    0.74179E+00
    0.12130E-04    0.76596E+00
    0.12541E-04    0.79091E+00
    0.12966E-04    0.81668E+00
    0.13405E-04    0.84329E+00
    0.13860E-04    0.87077E+00
    0.14330E-04    0.89914E+00
    0.14815E-04    0.92844E+00
    0.15317E-04    0.95869E+00
    0.15837E-04    0.98993E+00
    0.16373E-04    0.10222E+01
    0.16928E-04    0.10555E+01
    0.17502E-04    0.10899E+01
    0.18095E-04    0.11254E+01
    0.18709E-04    0.11621E+01
    0.19343E-04    0.11999E+01
    0.19999E-04    0.12390E+01
    0.20676E-04    0.12794E+01
    0.21377E-04    0.13211E+01
    0.22102E-04    0.13641E+01
    0.22851E-04    0.14086E+01
    0.23625E-04    0.14545E+01
    0.24426E-04    0.15018E+01
    0.25254E-04    0.15508E+01
    0.26110E-04    0.16013E+01
    0.26995E-04    0.16535E+01
    0.27910E-04    0.17074E+01
    0.28856E-04    0.17630E+01
    0.29834E-04    0.18204E+01
    0.30846E-04    0.18797E+01
    0.31891E-04    0.19410E+01
    0.32972E-04    0.20042E+01
    0.34090E-04    0.20695E+01
    0.35245E-04    0.21370E+01
    0.36440E-04    0.22066E+01
    0.37675E-04    0.22785E+01
    0.38952E-04    0.23527E+01
    0.40272E-04    0.24294E+01
    0.41637E-04    0.25085E+01
    0.43048E-04    0.25903E+01
    0.44508E-04    0.26746E+01
    0.46016E-04    0.27618E+01
    0.47576E-04    0.28518E+01
    0.49188E-04    0.29447E+01
    0.50856E-04    0.30406E+01
    0.52580E-04    0.31397E+01
    0.54362E-04    0.32420E+01
    0.56204E-04    0.33476E+01
    0.58109E-04    0.34567E+01
    0.60079E-04    0.35693E+01
    0.62115E-04    0.36856E+01
    0.64221E-04    0.38056E+01
    0.66398E-04    0.39296E+01
    0.68648E-04    0.40576E+01
    0.70975E-04    0.41898E+01
    0.73381E-04    0.43263E+01
    0.75868E-04    0.44673E+01
    0.78439E-04    0.46128E+01
    0.81098E-04    0.47631E+01
