#           k/h    P           
    0.54502E-05    0.26744E+01
    0.56350E-05    0.27616E+01
    0.58260E-05    0.28516E+01
    0.60234E-05    0.29445E+01
    0.62276E-05    0.30404E+01
    0.64387E-05    0.31395E+01
    0.66569E-05    0.32418E+01
    0.68826E-05    0.33474E+01
    0.71159E-05    0.34565E+01
    0.73571E-05    0.35691E+01
    0.76064E-05    0.36854E+01
    0.78642E-05    0.38054E+01
    0.81308E-05    0.39294E+01
    0.84064E-05    0.40575E+01
    0.86913E-05    0.41897E+01
    0.89859E-05    0.43262E+01
    0.92905E-05    0.44671E+01
    0.96054E-05    0.46127E+01
    0.99310E-05    0.47630E+01
    0.10268E-04    0.49182E+01
    0.10616E-04    0.50784E+01
    0.10975E-04    0.52439E+01
    0.11347E-04    0.54148E+01
    0.11732E-04    0.55912E+01
    0.12130E-04    0.57734E+01
    0.12541E-04    0.59615E+01
    0.12966E-04    0.61557E+01
    0.13405E-04    0.63563E+01
    0.13860E-04    0.65634E+01
    0.14330E-04    0.67773E+01
    0.14815E-04    0.69981E+01
    0.15317E-04    0.72261E+01
    0.15837E-04    0.74615E+01
    0.16373E-04    0.77046E+01
    0.16928E-04    0.79557E+01
    0.17502E-04    0.82149E+01
    0.18095E-04    0.84826E+01
    0.18709E-04    0.87589E+01
    0.19343E-04    0.90443E+01
    0.19999E-04    0.93390E+01
    0.20676E-04    0.96433E+01
    0.21377E-04    0.99575E+01
    0.22102E-04    0.10282E+02
    0.22851E-04    0.10617E+02
    0.23625E-04    0.10963E+02
    0.24426E-04    0.11320E+02
    0.25254E-04    0.11689E+02
    0.26110E-04    0.12070E+02
    0.26995E-04    0.12463E+02
    0.27910E-04    0.12869E+02
    0.28856E-04    0.13288E+02
    0.29834E-04    0.13721E+02
    0.30846E-04    0.14168E+02
    0.31891E-04    0.14630E+02
    0.32972E-04    0.15107E+02
    0.34090E-04    0.15599E+02
    0.35245E-04    0.16107E+02
    0.36440E-04    0.16632E+02
    0.37675E-04    0.17174E+02
    0.38952E-04    0.17733E+02
    0.40272E-04    0.18311E+02
    0.41637E-04    0.18908E+02
    0.43048E-04    0.19524E+02
    0.44508E-04    0.20160E+02
    0.46016E-04    0.20817E+02
    0.47576E-04    0.21495E+02
    0.49188E-04    0.22195E+02
    0.50856E-04    0.22918E+02
    0.52580E-04    0.23665E+02
    0.54362E-04    0.24436E+02
    0.56204E-04    0.25232E+02
    0.58109E-04    0.26054E+02
    0.60079E-04    0.26903E+02
    0.62115E-04    0.27779E+02
    0.64221E-04    0.28684E+02
    0.66398E-04    0.29619E+02
    0.68648E-04    0.30584E+02
    0.70975E-04    0.31580E+02
    0.73381E-04    0.32609E+02
    0.75868E-04    0.33671E+02
    0.78439E-04    0.34768E+02
    0.81098E-04    0.35900E+02
    0.83847E-04    0.37070E+02
    0.86689E-04    0.38277E+02
    0.89627E-04    0.39524E+02
    0.92665E-04    0.40811E+02
    0.95806E-04    0.42141E+02
    0.99053E-04    0.43513E+02
    0.10241E-03    0.44931E+02
    0.10588E-03    0.46394E+02
    0.10947E-03    0.47905E+02
    0.11318E-03    0.49465E+02
    0.11702E-03    0.51076E+02
    0.12098E-03    0.52739E+02
    0.12508E-03    0.54457E+02
    0.12932E-03    0.56230E+02
    0.13371E-03    0.58061E+02
    0.13824E-03    0.59951E+02
    0.14293E-03    0.61903E+02
    0.14777E-03    0.63918E+02
    0.15278E-03    0.65999E+02
    0.15796E-03    0.68148E+02
    0.16331E-03    0.70366E+02
    0.16885E-03    0.72656E+02
    0.17457E-03    0.75021E+02
    0.18049E-03    0.77462E+02
    0.18660E-03    0.79983E+02
    0.19293E-03    0.82585E+02
    0.19947E-03    0.85272E+02
    0.20623E-03    0.88046E+02
    0.21322E-03    0.90910E+02
    0.22045E-03    0.93867E+02
    0.22792E-03    0.96919E+02
    0.23565E-03    0.10007E+03
    0.24363E-03    0.10332E+03
    0.25189E-03    0.10668E+03
    0.26043E-03    0.11015E+03
    0.26926E-03    0.11373E+03
    0.27838E-03    0.11742E+03
    0.28782E-03    0.12124E+03
    0.29757E-03    0.12518E+03
    0.30766E-03    0.12924E+03
    0.31809E-03    0.13344E+03
    0.32887E-03    0.13777E+03
    0.34002E-03    0.14223E+03
    0.35154E-03    0.14685E+03
    0.36346E-03    0.15161E+03
    0.37578E-03    0.15652E+03
    0.38851E-03    0.16160E+03
    0.40168E-03    0.16683E+03
    0.41530E-03    0.17223E+03
    0.42937E-03    0.17781E+03
    0.44393E-03    0.18356E+03
    0.45897E-03    0.18949E+03
    0.47453E-03    0.19562E+03
    0.49062E-03    0.20194E+03
    0.50724E-03    0.20845E+03
    0.52444E-03    0.21518E+03
    0.54221E-03    0.22212E+03
    0.56059E-03    0.22927E+03
    0.57959E-03    0.23665E+03
