1.053481227383e-05	9.999999568916e-01	1.211868541001e+00	1.062482654763e+00	1.062482621439e+00	9.490893588668e-01
1.078019957481e-05	9.999999548600e-01	1.211868364587e+00	1.062482649211e+00	1.062482614318e+00	9.490892075599e-01
1.103130268029e-05	9.999999527329e-01	1.211868179859e+00	1.062482643452e+00	1.062482606922e+00	9.490890492009e-01
1.128825472847e-05	9.999999505048e-01	1.211867986423e+00	1.062482637327e+00	1.062482599085e+00	9.490888832780e-01
1.155119195872e-05	9.999999481728e-01	1.211867783873e+00	1.062482630842e+00	1.062482590784e+00	9.490887094345e-01
1.182025378385e-05	9.999999457291e-01	1.211867571776e+00	1.062482624120e+00	1.062482582145e+00	9.490885275013e-01
1.209558286399e-05	9.999999431718e-01	1.211867349684e+00	1.062482617061e+00	1.062482573140e+00	9.490883369499e-01
1.237732518227e-05	9.999999404934e-01	1.211867117125e+00	1.062482609638e+00	1.062482563650e+00	9.490881373855e-01
1.266563012220e-05	9.999999376892e-01	1.211866873605e+00	1.062482601849e+00	1.062482553691e+00	9.490879284178e-01
1.296065054687e-05	9.999999347530e-01	1.211866618610e+00	1.062482593660e+00	1.062482543229e+00	9.490877095635e-01
1.326254288001e-05	9.999999316779e-01	1.211866351597e+00	1.062482585108e+00	1.062482532295e+00	9.490874803946e-01
1.357146718894e-05	9.999999284582e-01	1.211866071999e+00	1.062482576165e+00	1.062482520849e+00	9.490872404589e-01
1.388758726941e-05	9.999999250860e-01	1.211865779224e+00	1.062482566793e+00	1.062482508906e+00	9.490869892301e-01
1.421107073247e-05	9.999999215557e-01	1.211865472652e+00	1.062482557060e+00	1.062482496418e+00	9.490867261873e-01
1.454208909334e-05	9.999999178591e-01	1.211865151632e+00	1.062482546840e+00	1.062482483332e+00	9.490864507507e-01
1.488081786234e-05	9.999999139875e-01	1.211864815482e+00	1.062482536112e+00	1.062482469637e+00	9.490861623125e-01
1.522743663794e-05	9.999999099342e-01	1.211864463490e+00	1.062482524867e+00	1.062482455248e+00	9.490858602606e-01
1.558212920200e-05	9.999999056890e-01	1.211864094909e+00	1.062482513092e+00	1.062482440193e+00	9.490855439722e-01
1.594508361722e-05	9.999999012444e-01	1.211863708958e+00	1.062482501029e+00	1.062482424690e+00	9.490852130469e-01
1.631649232683e-05	9.999998965905e-01	1.211863304818e+00	1.062482488307e+00	1.062482408378e+00	9.490848664467e-01
1.669655225665e-05	9.999998917169e-01	1.211862881631e+00	1.062482474576e+00	1.062482390867e+00	9.490845030846e-01
1.708546491948e-05	9.999998866134e-01	1.211862438500e+00	1.062482460920e+00	1.062482373263e+00	9.490841233284e-01
1.748343652196e-05	9.999998812697e-01	1.211861974485e+00	1.062482445904e+00	1.062482354118e+00	9.490837249470e-01
1.789067807391e-05	9.999998756742e-01	1.211861488602e+00	1.062482430541e+00	1.062482334441e+00	9.490833081706e-01
1.830740550019e-05	9.999998698151e-01	1.211860979820e+00	1.062482414390e+00	1.062482313750e+00	9.490828716708e-01
1.873383975518e-05	9.999998636791e-01	1.211860447060e+00	1.062482397443e+00	1.062482292067e+00	9.490824145575e-01
1.917020693999e-05	9.999998572550e-01	1.211859889193e+00	1.062482379813e+00	1.062482269467e+00	9.490819360430e-01
1.961673842226e-05	9.999998505275e-01	1.211859305034e+00	1.062482361285e+00	1.062482245749e+00	9.490814349030e-01
2.007367095890e-05	9.999998434832e-01	1.211858693345e+00	1.062482341726e+00	1.062482220736e+00	9.490809099746e-01
2.054124682160e-05	9.999998361065e-01	1.211858052828e+00	1.062482321282e+00	1.062482194599e+00	9.490803603502e-01
2.101971392525e-05	9.999998283823e-01	1.211857382125e+00	1.062482300260e+00	1.062482167598e+00	9.490797852048e-01
2.150932595945e-05	9.999998202942e-01	1.211856679813e+00	1.062482277600e+00	1.062482138688e+00	9.490791823142e-01
2.201034252299e-05	9.999998118251e-01	1.211855944402e+00	1.062482253996e+00	1.062482108539e+00	9.490785511326e-01
2.252302926148e-05	9.999998029569e-01	1.211855174333e+00	1.062482229627e+00	1.062482077321e+00	9.490778905510e-01
2.304765800820e-05	9.999997936702e-01	1.211854367972e+00	1.062482203912e+00	1.062482044418e+00	9.490771986289e-01
2.358450692828e-05	9.999997839464e-01	1.211853523609e+00	1.062482177074e+00	1.062482010069e+00	9.490764741968e-01
2.413386066610e-05	9.999997737640e-01	1.211852639453e+00	1.062482148798e+00	1.062481973915e+00	9.490757154474e-01
2.469601049630e-05	9.999997631018e-01	1.211851713629e+00	1.062482119191e+00	1.062481936068e+00	9.490749209425e-01
2.527125447816e-05	9.999997519371e-01	1.211850744172e+00	1.062482088165e+00	1.062481896415e+00	9.490740889666e-01
2.585989761364e-05	9.999997402463e-01	1.211849729028e+00	1.062482055695e+00	1.062481854905e+00	9.490732178107e-01
2.646225200914e-05	9.999997280043e-01	1.211848666042e+00	1.062482021718e+00	1.062481811464e+00	9.490723056037e-01
2.707863704092e-05	9.999997151856e-01	1.211847552959e+00	1.062481986149e+00	1.062481765985e+00	9.490713504268e-01
2.770937952449e-05	9.999997017627e-01	1.211846387420e+00	1.062481948899e+00	1.062481718363e+00	9.490703502315e-01
2.835481388786e-05	9.999996877073e-01	1.211845166952e+00	1.062481909900e+00	1.062481668498e+00	9.490693028929e-01
2.901528234887e-05	9.999996729894e-01	1.211843888966e+00	1.062481869052e+00	1.062481616273e+00	9.490682061933e-01
2.969113509664e-05	9.999996575778e-01	1.211842550752e+00	1.062481826271e+00	1.062481561583e+00	9.490670578014e-01
