#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_tot                  7:phi                    8:psi                
       1.052849924075e-05      -1.507743803533e-04      -1.130867938494e-04      -1.130867946304e-04      -1.131283913289e-04      -1.131601201507e-04       6.009058720157e-01       5.997043466564e-01 
       1.077373949229e-05      -1.578797578712e-04      -1.184164066774e-04      -1.184164075338e-04      -1.184599593428e-04      -1.184931877839e-04       6.009058459220e-01       5.997043246701e-01 
       1.102469212312e-05      -1.653199628378e-04      -1.239971960179e-04      -1.239971969569e-04      -1.240427955085e-04      -1.240775946573e-04       6.009058184374e-01       5.997043021538e-01 
       1.128149019164e-05      -1.731107716149e-04      -1.298409995382e-04      -1.298410005678e-04      -1.298887417632e-04      -1.299251860983e-04       6.009057898035e-01       5.997042778063e-01 
       1.154426985559e-05      -1.812687034414e-04      -1.359602125838e-04      -1.359602137127e-04      -1.360101979189e-04      -1.360483654727e-04       6.009057597612e-01       5.997042524722e-01 
       1.181317044422e-05      -1.898110560672e-04      -1.423678149536e-04      -1.423678161914e-04      -1.424201484465e-04      -1.424601209771e-04       6.009057289455e-01       5.997042266663e-01 
       1.208833453219e-05      -1.987559413026e-04      -1.490773976165e-04      -1.490773989738e-04      -1.491321892016e-04      -1.491740523723e-04       6.009056958195e-01       5.997041986463e-01 
       1.236990801514e-05      -2.081223249376e-04      -1.561031927152e-04      -1.561031942034e-04      -1.561605574369e-04      -1.562044010064e-04       6.009056615477e-01       5.997041704459e-01 
       1.265804018705e-05      -2.179300656352e-04      -1.634601027978e-04      -1.634601044296e-04      -1.635201610458e-04      -1.635660790656e-04       6.009056258740e-01       5.997041406808e-01 
       1.295288381942e-05      -2.281999571708e-04      -1.711637325715e-04      -1.711637343607e-04      -1.712266103236e-04      -1.712747013477e-04       6.009055878923e-01       5.997041088031e-01 
       1.325459524223e-05      -2.389537730909e-04      -1.792304224772e-04      -1.792304244390e-04      -1.792962515552e-04      -1.793466188586e-04       6.009055481224e-01       5.997040757314e-01 
       1.356333442690e-05      -2.502143122355e-04      -1.876772829173e-04      -1.876772850684e-04      -1.877462012547e-04      -1.877989530617e-04       6.009055062430e-01       5.997040404633e-01 
       1.387926507100e-05      -2.620054476019e-04      -1.965222309999e-04      -1.965222333585e-04      -1.965943829180e-04      -1.966496326462e-04       6.009054633508e-01       5.997040040751e-01 
       1.420255468516e-05      -2.743521755794e-04      -2.057840275677e-04      -2.057840301538e-04      -2.058595640676e-04      -2.059174305788e-04       6.009054179098e-01       5.997039660393e-01 
       1.453337468181e-05      -2.872806703615e-04      -2.154823181251e-04      -2.154823209608e-04      -2.155613971897e-04      -2.156220050580e-04       6.009053703258e-01       5.997039266787e-01 
       1.487190046609e-05      -3.008183385338e-04      -2.256376739066e-04      -2.256376770159e-04      -2.257204608169e-04      -2.257839406077e-04       6.009053205232e-01       5.997038848018e-01 
       1.521831152885e-05      -3.149938771846e-04      -2.362716355911e-04      -2.362716390004e-04      -2.363583032559e-04      -2.364247918201e-04       6.009052684277e-01       5.997038413840e-01 
       1.557279154181e-05      -3.298373346718e-04      -2.474067590366e-04      -2.474067627748e-04      -2.474974883365e-04      -2.475671291194e-04       6.009052137407e-01       5.997037956179e-01 
       1.593552845499e-05      -3.453801742903e-04      -2.590666631909e-04      -2.590666672897e-04      -2.591616433369e-04      -2.592345867030e-04       6.009051564967e-01       5.997037476902e-01 
       1.630671459628e-05      -3.616553406402e-04      -2.712760800550e-04      -2.712760845492e-04      -2.713755089622e-04      -2.714519125367e-04       6.009050966029e-01       5.997036975707e-01 
       1.668654677350e-05      -3.786973293769e-04      -2.840609071933e-04      -2.840609121211e-04      -2.841649918709e-04      -2.842450208985e-04       6.009050339365e-01       5.997036449961e-01 
       1.707522637868e-05      -3.965422601838e-04      -2.974482626778e-04      -2.974482680811e-04      -2.975572196347e-04      -2.976410473573e-04       6.009049682775e-01       5.997035900783e-01 
       1.747295949491e-05      -4.152279531992e-04      -3.114665426601e-04      -3.114665485847e-04      -3.115805983297e-04      -3.116684063821e-04       6.009048995860e-01       5.997035321880e-01 
       1.787995700555e-05      -4.347940085995e-04      -3.261454813073e-04      -3.261454878035e-04      -3.262648724823e-04      -3.263568513149e-04       6.009048275150e-01       5.997034718861e-01 
       1.829643470606e-05      -4.552818911321e-04      -3.415162145023e-04      -3.415162216253e-04      -3.416411888033e-04      -3.417375381131e-04       6.009047521894e-01       5.997034089504e-01 
       1.872261341843e-05      -4.767350166126e-04      -3.576113450302e-04      -3.576113528404e-04      -3.577421613715e-04      -3.578430905749e-04       6.009046731409e-01       5.997033429292e-01 
       1.915871910827e-05      -4.991988449838e-04      -3.744650127217e-04      -3.744650212853e-04      -3.746019418204e-04      -3.747076705294e-04       6.009045905148e-01       5.997032732102e-01 
       1.960498300456e-05      -5.227209748430e-04      -3.921129657177e-04      -3.921129751075e-04      -3.922562905992e-04      -3.923670491442e-04       6.009045040019e-01       5.997032010523e-01 
       2.006164172235e-05      -5.473512453259e-04      -4.105926373159e-04      -4.105926476116e-04      -4.107426538579e-04      -4.108586838220e-04       6.009044132411e-01       5.997031246990e-01 
       2.052893738813e-05      -5.731418407107e-04      -4.299432248731e-04      -4.299432361620e-04      -4.301002423627e-04      -4.302217971516e-04       6.009043183594e-01       5.997030454141e-01 
       2.100711776825e-05      -6.001474005340e-04      -4.502057728988e-04      -4.502057852770e-04      -4.503701146127e-04      -4.504974600545e-04       6.009042188477e-01       5.997029617858e-01 
       2.149643640026e-05      -6.284251354038e-04      -4.714232604507e-04      -4.714232740231e-04      -4.715952642575e-04      -4.717286792345e-04       6.009041149311e-01       5.997028752623e-01 
       2.199715272740e-05      -6.580349471293e-04      -4.936406918609e-04      -4.936407067426e-04      -4.938207108473e-04      -4.939604879615e-04       6.009040059319e-01       5.997027837368e-01 
       2.250953223607e-05      -6.890395556566e-04      -5.169051925769e-04      -5.169052088943e-04      -5.170935956967e-04      -5.172400419724e-04       6.009038917013e-01       5.997026878964e-01 
       2.303384659669e-05      -7.215046310175e-04      -5.412661088521e-04      -5.412661267439e-04      -5.414632815993e-04      -5.416167192239e-04       6.009037723311e-01       5.997025882448e-01 
       2.357037380767e-05      -7.554989317873e-04      -5.667751124134e-04      -5.667751320311e-04      -5.669814575197e-04      -5.671422246247e-04       6.009036471565e-01       5.997024832533e-01 
       2.411939834282e-05      -7.910944505933e-04      -5.934863104010e-04      -5.934863319113e-04      -5.937022485588e-04      -5.938707000454e-04       6.009035161243e-01       5.997023737729e-01 
       2.468121130224e-05      -8.283665651519e-04      -6.214563596618e-04      -6.214563832485e-04      -6.216823302740e-04      -6.218588386822e-04       6.009033787697e-01       5.997022584155e-01 
       2.525611056658e-05      -8.673941974782e-04      -6.507445872082e-04      -6.507446130705e-04      -6.509810491574e-04      -6.511660055878e-04       6.009032351832e-01       5.997021384442e-01 
       2.584440095505e-05      -9.082599802314e-04      -6.814131160656e-04      -6.814131444228e-04      -6.816605485174e-04      -6.818543636016e-04       6.009030847275e-01       5.997020121674e-01 
       2.644639438700e-05      -9.510504298662e-04      -7.135269964659e-04      -7.135270275582e-04      -7.137858996950e-04      -7.139890046209e-04       6.009029270598e-01       5.997018797777e-01 
       2.706241004731e-05      -9.958561304438e-04      -7.471543450121e-04      -7.471543791041e-04      -7.474252412553e-04      -7.476380888540e-04       6.009027622852e-01       5.997017424043e-01 
       2.769277455564e-05      -1.042771922349e-03      -7.823664878375e-04      -7.823665252177e-04      -7.826499221709e-04      -7.828729880628e-04       6.009025894452e-01       5.997015970645e-01 
       2.833782213959e-05      -1.091897103038e-03      -8.192381126937e-04      -8.192381536800e-04      -8.195346539407e-04      -8.197684377497e-04       6.009024085619e-01       5.997014456932e-01 
       2.899789481195e-05      -1.143335635376e-03      -8.578474271271e-04      -8.578474720679e-04      -8.581576687892e-04      -8.584026954270e-04       6.009022192652e-01       5.997012877564e-01 
       2.967334255196e-05      -1.197196366120e-03      -8.982763243258e-04      -8.982763736026e-04      -8.986008855383e-04      -8.988577065655e-04       6.009020209205e-01       5.997011219794e-01 
       3.036452349096e-05      -1.253593254667e-03      -9.406105568810e-04      -9.406106109113e-04      -9.409500833970e-04      -9.412192784616e-04       6.009018131471e-01       5.997009470424e-01 
       3.107180410225e-05      -1.312645612322e-03      -9.849399184978e-04      -9.849399777402e-04      -9.852950836971e-04      -9.855772620605e-04       6.009015957127e-01       5.997007649282e-01 
       3.179555939535e-05      -1.374478352504e-03      -1.031358434475e-03      -1.031358499433e-03      -1.031729940394e-03      -1.032025742549e-03       6.009013679410e-01       5.997005741273e-01 
