#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_tot                  7:phi                    8:psi                
       8.363084216200e-04      -7.629543921175e-02      -5.833572426339e-02      -5.835203477136e-02      -6.017892915845e-02      -5.882234307384e-02       6.107790909596e-01       5.964426427564e-01 
       1.052849924075e-03      -1.194485484659e-01      -9.236949804653e-02      -9.241045099791e-02      -9.479322136213e-02      -9.309927761405e-02       6.097968583544e-01       5.957037680173e-01 
       1.325459524223e-03      -1.856665966448e-01      -1.461794396117e-01      -1.462822384610e-01      -1.487841019744e-01      -1.472335660031e-01       6.082520633496e-01       5.945385739045e-01 
       1.668654677350e-03      -2.852973448964e-01      -2.311379688006e-01      -2.313959154980e-01      -2.322113460632e-01      -2.325576517181e-01       6.058333625807e-01       5.927064402863e-01 
       2.100711776825e-03      -4.304080821927e-01      -3.649808220249e-01      -3.656276562292e-01      -3.592106179956e-01      -3.666255316810e-01       6.020730208574e-01       5.898388896661e-01 
       2.644639438700e-03      -6.304073826661e-01      -5.751071300876e-01      -5.767280456931e-01      -5.479767143742e-01      -5.762903513981e-01       5.962891253934e-01       5.853812524308e-01 
       3.329403794412e-03      -8.800731679045e-01      -9.032306376220e-01      -9.072856029052e-01      -8.180099229679e-01      -9.018932137830e-01       5.875496244926e-01       5.785348963092e-01 
       4.191471042909e-03      -1.135233294781e+00      -1.411397989641e+00      -1.421516916863e+00      -1.181168107385e+00      -1.402527216817e+00       5.746930104549e-01       5.682073796232e-01 
       5.276749408718e-03      -1.281649483849e+00      -2.188613465051e+00      -2.213769566829e+00      -1.623034929042e+00      -2.162129681345e+00       5.565311873024e-01       5.530579709319e-01 
       6.643033922305e-03      -1.146905771419e+00      -3.355517271442e+00      -3.417699245214e+00      -2.080409166449e+00      -3.296554891133e+00       5.323438290823e-01       5.317627189228e-01 
       8.363084216200e-03      -6.837963791285e-01      -5.061634852018e+00      -5.213990061541e+00      -2.452438172929e+00      -4.963671680286e+00       5.025490661983e-01       5.036358702486e-01 
       1.052849924075e-02      -3.287670598212e-01      -7.466014318337e+00      -7.834410107917e+00      -2.711307288983e+00      -7.376552822220e+00       4.686764188595e-01       4.693954893289e-01 
       1.325459524223e-02      -6.454679448142e-01      -1.068694129390e+01      -1.156030433348e+01      -3.020648237351e+00      -1.079265103403e+01       4.313694537660e-01       4.308648869811e-01 
