       1.052849924075e-05       1.872881265343e+01 
       1.077373949229e-05       1.914825482106e+01 
       1.102469212312e-05       1.957709139249e+01 
       1.128149019164e-05       2.001553080597e+01 
       1.154426985559e-05       2.046378993729e+01 
       1.181317044422e-05       2.092208907927e+01 
       1.208833453219e-05       2.139064983789e+01 
       1.236990801514e-05       2.186970481349e+01 
       1.265804018705e-05       2.235948924150e+01 
       1.295288381942e-05       2.286024220414e+01 
       1.325459524223e-05       2.337220889860e+01 
       1.356333442690e-05       2.389564113638e+01 
       1.387926507100e-05       2.443079812659e+01 
       1.420255468516e-05       2.497793827184e+01 
       1.453337468181e-05       2.553732975211e+01 
       1.487190046609e-05       2.610925232213e+01 
       1.521831152885e-05       2.669398010147e+01 
       1.557279154181e-05       2.729180525266e+01 
       1.593552845499e-05       2.790301726941e+01 
       1.630671459628e-05       2.852791808326e+01 
       1.668654677350e-05       2.916681385535e+01 
       1.707522637868e-05       2.982001726413e+01 
       1.747295949491e-05       3.048784887429e+01 
       1.787995700555e-05       3.117063620104e+01 
       1.829643470606e-05       3.186871567684e+01 
       1.872261341843e-05       3.258242813975e+01 
       1.915871910827e-05       3.331212488403e+01 
       1.960498300456e-05       3.405816199988e+01 
       2.006164172235e-05       3.482090625630e+01 
       2.052893738813e-05       3.560073191062e+01 
       2.100711776825e-05       3.639802130754e+01 
       2.149643640026e-05       3.721316586273e+01 
       2.199715272740e-05       3.804656420299e+01 
       2.250953223607e-05       3.889862803701e+01 
       2.303384659669e-05       3.976977224544e+01 
       2.357037380767e-05       4.066042511331e+01 
       2.411939834282e-05       4.157102450435e+01 
       2.468121130224e-05       4.250201395487e+01 
       2.525611056658e-05       4.345385317923e+01 
       2.584440095505e-05       4.442700879217e+01 
       2.644639438700e-05       4.542195646795e+01 
       2.706241004731e-05       4.643918422661e+01 
       2.769277455564e-05       4.747919355592e+01 
       2.833782213959e-05       4.854249079812e+01 
       2.899789481195e-05       4.962959905340e+01 
       2.967334255196e-05       5.074105275002e+01 
       3.036452349096e-05       5.187739505044e+01 
       3.107180410225e-05       5.303918393981e+01 
       3.179555939535e-05       5.422698918769e+01 
       3.253617311491e-05       5.544139282768e+01 
       3.329403794412e-05       5.668299066952e+01 
       3.406955571295e-05       5.795239158277e+01 
       3.486313761118e-05       5.925021759730e+01 
       3.567520440644e-05       6.057710552394e+01 
       3.650618666729e-05       6.193370559487e+01 
       3.735652499153e-05       6.332068316826e+01 
       3.822667023980e-05       6.473871739070e+01 
       3.911708377461e-05       6.618850587504e+01 
       4.002823770502e-05       6.767075683709e+01 
       4.096061513689e-05       6.918619808857e+01 
       4.191471042909e-05       7.073557118398e+01 
       4.289102945557e-05       7.231963773808e+01 
       4.389008987359e-05       7.393917342649e+01 
       4.491242139822e-05       7.559497070292e+01 
       4.595856608316e-05       7.728784295109e+01 
       4.702907860816e-05       7.901861977528e+01 
       4.812452657316e-05       8.078814833360e+01 
       4.924549079914e-05       8.259729616746e+01 
       5.039256563619e-05       8.444695022611e+01 
       5.156635927856e-05       8.633801673549e+01 
       5.276749408718e-05       8.827142218779e+01 
       5.399660691963e-05       9.024811451157e+01 
       5.525434946779e-05       9.226906013870e+01 
       5.654138860342e-05       9.433525201009e+01 
       5.785840673171e-05       9.644770113427e+01 
       5.920610215308e-05       9.860744161355e+01 
       6.058518943351e-05       1.008155317928e+02 
       6.199639978331e-05       1.030730542354e+02 
       6.344048144490e-05       1.053811125095e+02 
       6.491820008948e-05       1.077408382476e+02 
       6.643033922305e-05       1.101533865685e+02 
       6.797770060178e-05       1.126199388357e+02 
       6.956110465716e-05       1.151417026641e+02 
       7.118139093098e-05       1.177199123140e+02 
       7.283941852047e-05       1.203558298599e+02 
       7.453606653380e-05       1.230507453787e+02 
       7.627223455621e-05       1.258059777437e+02 
       7.804884312696e-05       1.286228750953e+02 
       7.986683422744e-05       1.315028154829e+02 
       8.172717178059e-05       1.344472082725e+02 
       8.363084216200e-05       1.374574931814e+02 
       8.557885472291e-05       1.405351424669e+02 
       8.757224232537e-05       1.436816609903e+02 
       8.961206188986e-05       1.468985875675e+02 
       9.169939495573e-05       1.501874943770e+02 
       9.383534825458e-05       1.535499892235e+02 
       9.602105429714e-05       1.569877151946e+02 
       9.825767197367e-05       1.605023517519e+02 
       1.005463871685e-04       1.640956157781e+02 
       1.028884133887e-04       1.677692624799e+02 
       1.052849924075e-04       1.715250856067e+02 
       1.077373949229e-04       1.753649184316e+02 
       1.102469212312e-04       1.792906352639e+02 
       1.128149019164e-04       1.833041513426e+02 
       1.154426985559e-04       1.874074250060e+02 
       1.181317044422e-04       1.916024573086e+02 
       1.208833453219e-04       1.958912936765e+02 
       1.236990801514e-04       2.002760247776e+02 
       1.265804018705e-04       2.047587868150e+02 
       1.295288381942e-04       2.093417638178e+02 
       1.325459524223e-04       2.140271875424e+02 
       1.356333442690e-04       2.188173387019e+02 
       1.387926507100e-04       2.237145483889e+02 
       1.420255468516e-04       2.287211987852e+02 
       1.453337468181e-04       2.338397246418e+02 
       1.487190046609e-04       2.390726134001e+02 
       1.521831152885e-04       2.444224076889e+02 
       1.557279154181e-04       2.498917053430e+02 
       1.593552845499e-04       2.554831613461e+02 
       1.630671459628e-04       2.611994881234e+02 
       1.668654677350e-04       2.670434576372e+02 
       1.707522637868e-04       2.730179020714e+02 
       1.747295949491e-04       2.791257150359e+02 
       1.787995700555e-04       2.853698536367e+02 
       1.829643470606e-04       2.917533381685e+02 
       1.872261341843e-04       2.982792550485e+02 
       1.915871910827e-04       3.049507571769e+02 
