#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_tot                  7:phi                    8:psi                
       1.053192228997e-05      -1.315703380109e-03      -9.872905412436e-04      -9.872905740229e-04      -9.873018257974e-04      -9.873475286980e-04       4.742033266732e-01       4.741174553241e-01 
       1.077724227458e-05      -1.377676589810e-03      -1.033819935973e-03      -1.033819971915e-03      -1.033831714329e-03      -1.033879603803e-03       4.742032403066e-01       4.741173719920e-01 
       1.102827649569e-05      -1.442567629366e-03      -1.082542476872e-03      -1.082542516281e-03      -1.082554768636e-03      -1.082604950898e-03       4.742032814294e-01       4.741174162581e-01 
       1.128515805497e-05      -1.510512959413e-03      -1.133560969202e-03      -1.133561012413e-03      -1.133573794546e-03      -1.133626381096e-03       4.742032066123e-01       4.741173447658e-01 
       1.154802315443e-05      -1.581656582248e-03      -1.186983920123e-03      -1.186983967502e-03      -1.186997299782e-03      -1.187052407723e-03       4.742031470269e-01       4.741172886414e-01 
       1.181701116863e-05      -1.656148895338e-03      -1.242924680892e-03      -1.242924732842e-03      -1.242938636157e-03      -1.242996388475e-03       4.742031137914e-01       4.741172590352e-01 
       1.209226471856e-05      -1.734147384733e-03      -1.301501973022e-03      -1.301502029984e-03      -1.301516525721e-03      -1.301577051604e-03       4.742031267633e-01       4.741172758084e-01 
       1.237392974730e-05      -1.815816306794e-03      -1.362839653838e-03      -1.362839716296e-03      -1.362854826309e-03      -1.362918261454e-03       4.742030430627e-01       4.741171960932e-01 
       1.266215559739e-05      -1.901328580117e-03      -1.427068142057e-03      -1.427068210540e-03      -1.427083957137e-03      -1.427150444132e-03       4.742029795242e-01       4.741171367294e-01 
       1.295709508998e-05      -1.990864926145e-03      -1.494323778747e-03      -1.494323853837e-03      -1.494340259731e-03      -1.494409948422e-03       4.742029666585e-01       4.741171282225e-01 
       1.325890460589e-05      -2.084614170839e-03      -1.564749060476e-03      -1.564749142810e-03      -1.564766231084e-03      -1.564839278945e-03       4.742029489132e-01       4.741171150387e-01 
       1.356774416853e-05      -2.182774134621e-03      -1.638493313802e-03      -1.638493404078e-03      -1.638511198129e-03      -1.638587770692e-03       4.742029109150e-01       4.741170818169e-01 
       1.388377752871e-05      -2.285551939976e-03      -1.715712934510e-03      -1.715713033495e-03      -1.715731556982e-03      -1.715811828273e-03       4.742028482441e-01       4.741170241595e-01 
       1.420717225152e-05      -2.393164591991e-03      -1.796571832872e-03      -1.796571941407e-03      -1.796591218172e-03      -1.796675371191e-03       4.742027951435e-01       4.741169763045e-01 
       1.453809980510e-05      -2.505839026003e-03      -1.881241477647e-03      -1.881241596653e-03      -1.881261650647e-03      -1.881349877855e-03       4.742027394322e-01       4.741169260871e-01 
       1.487673565164e-05      -2.623812816505e-03      -1.969901438973e-03      -1.969901569458e-03      -1.969922424649e-03      -1.970014928492e-03       4.742026753380e-01       4.741168677412e-01 
       1.522325934033e-05      -2.747334779642e-03      -2.062739852589e-03      -2.062739995662e-03      -2.062761675923e-03      -2.062858669401e-03       4.742026215748e-01       4.741168199965e-01 
       1.557785460264e-05      -2.876665074876e-03      -2.159953508100e-03      -2.159953664976e-03      -2.159976193966e-03      -2.160077901215e-03       4.742025476721e-01       4.741167524060e-01 
       1.594070944965e-05      -3.012076343710e-03      -2.261748718315e-03      -2.261748890325e-03      -2.261772291353e-03      -2.261878948286e-03       4.742024793321e-01       4.741166906689e-01 
       1.631201627181e-05      -3.153853758658e-03      -2.368341370309e-03      -2.368341558912e-03      -2.368365854770e-03      -2.368477709747e-03       4.742024091019e-01       4.741166273519e-01 
       1.669197194091e-05      -3.302295831382e-03      -2.479957549056e-03      -2.479957755854e-03      -2.479982968644e-03      -2.480100283186e-03       4.742023349771e-01       4.741165604662e-01 
       1.708077791448e-05      -3.457715011793e-03      -2.596834005688e-03      -2.596834232435e-03      -2.596860383366e-03      -2.596983432912e-03       4.742022572668e-01       4.741164903344e-01 
       1.747864034259e-05      -3.620438362952e-03      -2.719218684468e-03      -2.719218933087e-03      -2.719246042243e-03      -2.719375116970e-03       4.742021824459e-01       4.741164234392e-01 
       1.788577017717e-05      -3.790808115038e-03      -2.847371155740e-03      -2.847371428345e-03      -2.847399514428e-03      -2.847534920103e-03       4.742021061686e-01       4.741163554840e-01 
       1.830238328384e-05      -3.969182356562e-03      -2.981563170602e-03      -2.981563469505e-03      -2.981592549548e-03      -2.981734608450e-03       4.742020165126e-01       4.741162745273e-01 
       1.872870055639e-05      -4.155936043358e-03      -3.122079432465e-03      -3.122079760199e-03      -3.122109849238e-03      -3.122258901146e-03       4.742019250593e-01       4.741161921748e-01 
       1.916494803388e-05      -4.351461491605e-03      -3.269217999807e-03      -3.269218359158e-03      -3.269249469869e-03      -3.269405873105e-03       4.742018328509e-01       4.741161095056e-01 
       1.961135702049e-05      -4.556169081634e-03      -3.423290849457e-03      -3.423291243473e-03      -3.423323385762e-03      -3.423487518308e-03       4.742017229347e-01       4.741160095803e-01 
       2.006816420819e-05      -4.770488590593e-03      -3.584624912024e-03      -3.584625344046e-03      -3.584658524599e-03      -3.584830785297e-03       4.742016139211e-01       4.741159110186e-01 
