#           k/h    P           
    0.27766E-02    0.99148E+04
    0.28707E-02    0.10192E+05
    0.29680E-02    0.10474E+05
    0.30687E-02    0.10762E+05
    0.31727E-02    0.11056E+05
    0.32802E-02    0.11356E+05
    0.33914E-02    0.11661E+05
    0.35063E-02    0.11972E+05
    0.36252E-02    0.12288E+05
    0.37481E-02    0.12609E+05
    0.38751E-02    0.12936E+05
    0.40064E-02    0.13268E+05
    0.41422E-02    0.13604E+05
    0.42826E-02    0.13946E+05
    0.44278E-02    0.14292E+05
    0.45779E-02    0.14642E+05
    0.47331E-02    0.14996E+05
    0.48935E-02    0.15354E+05
    0.50593E-02    0.15715E+05
    0.52308E-02    0.16080E+05
    0.54081E-02    0.16448E+05
    0.55914E-02    0.16818E+05
    0.57810E-02    0.17190E+05
    0.59769E-02    0.17564E+05
    0.61795E-02    0.17939E+05
    0.63890E-02    0.18314E+05
    0.66055E-02    0.18690E+05
    0.68294E-02    0.19065E+05
    0.70609E-02    0.19440E+05
    0.73002E-02    0.19813E+05
    0.75477E-02    0.20183E+05
    0.78035E-02    0.20550E+05
    0.80680E-02    0.20914E+05
    0.83415E-02    0.21273E+05
    0.86242E-02    0.21627E+05
    0.89165E-02    0.21974E+05
    0.92187E-02    0.22315E+05
    0.95312E-02    0.22647E+05
    0.98543E-02    0.22970E+05
    0.10188E-01    0.23282E+05
    0.10534E-01    0.23584E+05
    0.10891E-01    0.23873E+05
    0.11260E-01    0.24149E+05
    0.11641E-01    0.24410E+05
    0.12036E-01    0.24655E+05
    0.12444E-01    0.24882E+05
    0.12866E-01    0.25092E+05
    0.13302E-01    0.25282E+05
    0.13753E-01    0.25450E+05
    0.14219E-01    0.25596E+05
    0.14701E-01    0.25719E+05
    0.15199E-01    0.25817E+05
    0.15714E-01    0.25888E+05
    0.16247E-01    0.25932E+05
    0.16798E-01    0.25947E+05
    0.17367E-01    0.25932E+05
    0.17956E-01    0.25887E+05
    0.18564E-01    0.25810E+05
    0.19194E-01    0.25700E+05
    0.19844E-01    0.25557E+05
    0.20517E-01    0.25380E+05
    0.21212E-01    0.25169E+05
    0.21931E-01    0.24924E+05
    0.22674E-01    0.24645E+05
    0.23443E-01    0.24332E+05
    0.24238E-01    0.23986E+05
    0.25059E-01    0.23608E+05
    0.25909E-01    0.23200E+05
    0.26787E-01    0.22763E+05
    0.27695E-01    0.22299E+05
    0.28633E-01    0.21811E+05
    0.29604E-01    0.21302E+05
    0.30607E-01    0.20773E+05
    0.31645E-01    0.20230E+05
    0.32717E-01    0.19676E+05
    0.33826E-01    0.19113E+05
    0.34973E-01    0.18548E+05
    0.36158E-01    0.17984E+05
    0.37384E-01    0.17425E+05
    0.38651E-01    0.16875E+05
    0.39961E-01    0.16339E+05
    0.41316E-01    0.15820E+05
    0.42716E-01    0.15322E+05
    0.44164E-01    0.14847E+05
    0.45661E-01    0.14398E+05
    0.47208E-01    0.13977E+05
    0.48809E-01    0.13584E+05
    0.50463E-01    0.13220E+05
    0.52173E-01    0.12882E+05
    0.53942E-01    0.12568E+05
    0.55770E-01    0.12276E+05
    0.57660E-01    0.12001E+05
    0.59615E-01    0.11736E+05
    0.61635E-01    0.11476E+05
    0.63725E-01    0.11214E+05
    0.65885E-01    0.10942E+05
    0.68118E-01    0.10653E+05
    0.70427E-01    0.10341E+05
    0.72814E-01    0.10001E+05
    0.75282E-01    0.96313E+04
    0.77833E-01    0.92310E+04
    0.80472E-01    0.88036E+04
    0.83199E-01    0.83554E+04
    0.86019E-01    0.78955E+04
    0.88935E-01    0.74352E+04
    0.91949E-01    0.69870E+04
    0.95066E-01    0.65633E+04
    0.98288E-01    0.61750E+04
    0.10162E+00    0.58306E+04
    0.10506E+00    0.55347E+04
    0.10863E+00    0.52874E+04
    0.11231E+00    0.50844E+04
    0.11611E+00    0.49162E+04
    0.12005E+00    0.47699E+04
    0.12412E+00    0.46297E+04
    0.12833E+00    0.44798E+04
    0.13268E+00    0.43071E+04
    0.13717E+00    0.41043E+04
    0.14182E+00    0.38720E+04
    0.14663E+00    0.36190E+04
    0.15160E+00    0.33608E+04
    0.15674E+00    0.31151E+04
    0.16205E+00    0.28981E+04
    0.16754E+00    0.27193E+04
    0.17322E+00    0.25800E+04
    0.17909E+00    0.24723E+04
    0.18516E+00    0.23816E+04
    0.19144E+00    0.22903E+04
    0.19793E+00    0.21839E+04
    0.20464E+00    0.20568E+04
    0.21157E+00    0.19146E+04
    0.21874E+00    0.17711E+04
    0.22616E+00    0.16417E+04
    0.23382E+00    0.15362E+04
    0.24175E+00    0.14544E+04
    0.24994E+00    0.13869E+04
    0.25842E+00    0.13202E+04
    0.26718E+00    0.12449E+04
    0.27623E+00    0.11607E+04
    0.28559E+00    0.10760E+04
    0.29527E+00    0.10007E+04
    0.30528E+00    0.93915E+03
    0.31563E+00    0.88737E+03
    0.32633E+00    0.83735E+03
    0.33739E+00    0.78404E+03
    0.34883E+00    0.72918E+03
    0.36065E+00    0.67836E+03
    0.37287E+00    0.63470E+03
    0.38551E+00    0.59606E+03
    0.39858E+00    0.55833E+03
    0.41209E+00    0.52030E+03
    0.42606E+00    0.48422E+03
    0.44050E+00    0.45197E+03
    0.45543E+00    0.42262E+03
    0.47087E+00    0.39433E+03
    0.48683E+00    0.36705E+03
    0.50333E+00    0.34186E+03
    0.52039E+00    0.31878E+03
    0.53802E+00    0.29697E+03
    0.55626E+00    0.27630E+03
    0.57512E+00    0.25712E+03
    0.59461E+00    0.23931E+03
    0.61476E+00    0.22256E+03
    0.63560E+00    0.20689E+03
    0.65715E+00    0.19234E+03
    0.67942E+00    0.17873E+03
    0.70245E+00    0.16602E+03
    0.72626E+00    0.15419E+03
    0.75087E+00    0.14316E+03
    0.77633E+00    0.13288E+03
    0.80264E+00    0.12330E+03
    0.82984E+00    0.11438E+03
    0.85797E+00    0.10608E+03
    0.88705E+00    0.98355E+02
    0.91712E+00    0.91169E+02
    0.94821E+00    0.84487E+02
    0.98035E+00    0.78276E+02
    0.10136E+01    0.72504E+02
    0.10479E+01    0.67141E+02
    0.10834E+01    0.62160E+02
    0.11202E+01    0.57534E+02
    0.11581E+01    0.53241E+02
    0.11974E+01    0.49256E+02
    0.12380E+01    0.45560E+02
    0.12799E+01    0.42132E+02
    0.13233E+01    0.38954E+02
    0.13682E+01    0.36007E+02
    0.14146E+01    0.33276E+02
    0.14625E+01    0.30747E+02
    0.15121E+01    0.28403E+02
    0.15633E+01    0.26233E+02
    0.16163E+01    0.24224E+02
    0.16711E+01    0.22365E+02
    0.17277E+01    0.20644E+02
    0.17863E+01    0.19052E+02
    0.18469E+01    0.17579E+02
    0.19095E+01    0.16218E+02
    0.19742E+01    0.14959E+02
    0.20411E+01    0.13795E+02
    0.21103E+01    0.12720E+02
    0.21818E+01    0.11726E+02
    0.22558E+01    0.10809E+02
    0.23322E+01    0.99608E+01
    0.24113E+01    0.91782E+01
    0.24930E+01    0.84556E+01
    0.25775E+01    0.77887E+01
    0.26649E+01    0.71732E+01
    0.27552E+01    0.66054E+01
    0.28486E+01    0.60815E+01
    0.29451E+01    0.55983E+01
    0.30449E+01    0.51528E+01
    0.31482E+01    0.47420E+01
    0.32549E+01    0.43633E+01
    0.33652E+01    0.40143E+01
    0.34792E+01    0.36927E+01
    0.35972E+01    0.33963E+01
    0.37191E+01    0.31233E+01
    0.38452E+01    0.28719E+01
    0.39755E+01    0.26404E+01
    0.41102E+01    0.24272E+01
    0.42496E+01    0.22309E+01
