#           k/h    P           
    0.54502E-05    0.99329E+01
    0.56350E-05    0.10256E+02
    0.58260E-05    0.10591E+02
    0.60234E-05    0.10936E+02
    0.62276E-05    0.11292E+02
    0.64387E-05    0.11660E+02
    0.66569E-05    0.12040E+02
    0.68826E-05    0.12432E+02
    0.71159E-05    0.12837E+02
    0.73571E-05    0.13256E+02
    0.76064E-05    0.13687E+02
    0.78642E-05    0.14133E+02
    0.81308E-05    0.14594E+02
    0.84064E-05    0.15069E+02
    0.86913E-05    0.15560E+02
    0.89859E-05    0.16067E+02
    0.92905E-05    0.16591E+02
    0.96054E-05    0.17132E+02
    0.99310E-05    0.17690E+02
    0.10268E-04    0.18266E+02
    0.10616E-04    0.18861E+02
    0.10975E-04    0.19476E+02
    0.11347E-04    0.20110E+02
    0.11732E-04    0.20766E+02
    0.12130E-04    0.21442E+02
    0.12541E-04    0.22141E+02
    0.12966E-04    0.22862E+02
    0.13405E-04    0.23607E+02
    0.13860E-04    0.24376E+02
    0.14330E-04    0.25171E+02
    0.14815E-04    0.25991E+02
    0.15317E-04    0.26838E+02
    0.15837E-04    0.27712E+02
    0.16373E-04    0.28615E+02
    0.16928E-04    0.29547E+02
    0.17502E-04    0.30510E+02
    0.18095E-04    0.31504E+02
    0.18709E-04    0.32531E+02
    0.19343E-04    0.33591E+02
    0.19999E-04    0.34685E+02
    0.20676E-04    0.35815E+02
    0.21377E-04    0.36982E+02
    0.22102E-04    0.38187E+02
    0.22851E-04    0.39431E+02
    0.23625E-04    0.40716E+02
    0.24426E-04    0.42043E+02
    0.25254E-04    0.43413E+02
    0.26110E-04    0.44827E+02
    0.26995E-04    0.46288E+02
    0.27910E-04    0.47796E+02
    0.28856E-04    0.49353E+02
    0.29834E-04    0.50961E+02
    0.30846E-04    0.52621E+02
    0.31891E-04    0.54336E+02
    0.32972E-04    0.56106E+02
    0.34090E-04    0.57934E+02
    0.35245E-04    0.59822E+02
    0.36440E-04    0.61771E+02
    0.37675E-04    0.63783E+02
    0.38952E-04    0.65861E+02
    0.40272E-04    0.68007E+02
    0.41637E-04    0.70223E+02
    0.43048E-04    0.72511E+02
    0.44508E-04    0.74873E+02
    0.46016E-04    0.77313E+02
    0.47576E-04    0.79831E+02
    0.49188E-04    0.82432E+02
    0.50856E-04    0.85118E+02
    0.52580E-04    0.87891E+02
    0.54362E-04    0.90754E+02
    0.56204E-04    0.93711E+02
    0.58109E-04    0.96764E+02
    0.60079E-04    0.99916E+02
    0.62115E-04    0.10317E+03
    0.64221E-04    0.10653E+03
    0.66398E-04    0.11000E+03
    0.68648E-04    0.11359E+03
    0.70975E-04    0.11729E+03
    0.73381E-04    0.12111E+03
    0.75868E-04    0.12505E+03
    0.78439E-04    0.12913E+03
    0.81098E-04    0.13333E+03
    0.83847E-04    0.13767E+03
    0.86689E-04    0.14216E+03
    0.89627E-04    0.14679E+03
    0.92665E-04    0.15157E+03
    0.95806E-04    0.15651E+03
    0.99053E-04    0.16160E+03
    0.10241E-03    0.16687E+03
    0.10588E-03    0.17230E+03
    0.10947E-03    0.17791E+03
    0.11318E-03    0.18371E+03
    0.11702E-03    0.18969E+03
    0.12098E-03    0.19586E+03
    0.12508E-03    0.20224E+03
    0.12932E-03    0.20883E+03
    0.13371E-03    0.21562E+03
    0.13824E-03    0.22264E+03
    0.14293E-03    0.22989E+03
    0.14777E-03    0.23738E+03
    0.15278E-03    0.24510E+03
    0.15796E-03    0.25308E+03
    0.16331E-03    0.26132E+03
    0.16885E-03    0.26982E+03
    0.17457E-03    0.27860E+03
    0.18049E-03    0.28766E+03
    0.18660E-03    0.29702E+03
    0.19293E-03    0.30668E+03
    0.19947E-03    0.31666E+03
    0.20623E-03    0.32696E+03
    0.21322E-03    0.33759E+03
    0.22045E-03    0.34857E+03
    0.22792E-03    0.35990E+03
    0.23565E-03    0.37160E+03
    0.24363E-03    0.38367E+03
    0.25189E-03    0.39614E+03
    0.26043E-03    0.40901E+03
    0.26926E-03    0.42229E+03
    0.27838E-03    0.43601E+03
    0.28782E-03    0.45016E+03
    0.29757E-03    0.46477E+03
    0.30766E-03    0.47986E+03
    0.31809E-03    0.49542E+03
    0.32887E-03    0.51149E+03
    0.34002E-03    0.52807E+03
    0.35154E-03    0.54519E+03
    0.36346E-03    0.56285E+03
    0.37578E-03    0.58108E+03
    0.38851E-03    0.59990E+03
    0.40168E-03    0.61931E+03
    0.41530E-03    0.63934E+03
    0.42937E-03    0.66001E+03
    0.44393E-03    0.68134E+03
    0.45897E-03    0.70335E+03
    0.47453E-03    0.72605E+03
    0.49062E-03    0.74948E+03
    0.50724E-03    0.77364E+03
    0.52444E-03    0.79857E+03
    0.54221E-03    0.82428E+03
    0.56059E-03    0.85080E+03
    0.57959E-03    0.87815E+03
    0.59924E-03    0.90635E+03
    0.61955E-03    0.93544E+03
    0.64055E-03    0.96543E+03
    0.66226E-03    0.99635E+03
    0.68471E-03    0.10282E+04
    0.70792E-03    0.10611E+04
    0.73191E-03    0.10950E+04
    0.75672E-03    0.11299E+04
    0.78237E-03    0.11659E+04
    0.80889E-03    0.12030E+04
    0.83631E-03    0.12412E+04
    0.86465E-03    0.12805E+04
    0.89396E-03    0.13211E+04
    0.92426E-03    0.13629E+04
    0.95559E-03    0.14059E+04
    0.98798E-03    0.14502E+04
    0.10215E-02    0.14958E+04
    0.10561E-02    0.15428E+04
    0.10919E-02    0.15911E+04
    0.11289E-02    0.16409E+04
    0.11672E-02    0.16921E+04
    0.12067E-02    0.17448E+04
    0.12476E-02    0.17989E+04
    0.12899E-02    0.18547E+04
    0.13336E-02    0.19120E+04
    0.13788E-02    0.19709E+04
    0.14256E-02    0.20315E+04
    0.14739E-02    0.20938E+04
    0.15238E-02    0.21578E+04
    0.15755E-02    0.22235E+04
    0.16289E-02    0.22910E+04
    0.16841E-02    0.23603E+04
    0.17412E-02    0.24315E+04
    0.18002E-02    0.25045E+04
    0.18612E-02    0.25794E+04
    0.19243E-02    0.26563E+04
    0.19895E-02    0.27351E+04
    0.20570E-02    0.28159E+04
    0.21267E-02    0.28987E+04
    0.21988E-02    0.29835E+04
    0.22733E-02    0.30703E+04
    0.23504E-02    0.31592E+04
    0.24300E-02    0.32502E+04
    0.25124E-02    0.33433E+04
    0.25976E-02    0.34385E+04
