#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.545024E-05   0.119958E+08   0.119958E+08   0.159931E+08   0.159931E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574220E+00   0.105382E+08   0.105382E+08   0.590291E-02
   0.563498E-05   0.119958E+08   0.119958E+08   0.159930E+08   0.159930E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574220E+00   0.105382E+08   0.105382E+08   0.610299E-02
   0.582598E-05   0.119958E+08   0.119958E+08   0.159929E+08   0.159929E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574220E+00   0.105382E+08   0.105382E+08   0.630985E-02
   0.602345E-05   0.119958E+08   0.119958E+08   0.159928E+08   0.159928E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574220E+00   0.105382E+08   0.105382E+08   0.652372E-02
   0.622761E-05   0.119958E+08   0.119958E+08   0.159927E+08   0.159927E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574220E+00   0.105382E+08   0.105382E+08   0.674484E-02
   0.643870E-05   0.119958E+08   0.119958E+08   0.159926E+08   0.159926E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574220E+00   0.105382E+08   0.105382E+08   0.697345E-02
   0.665694E-05   0.119958E+08   0.119958E+08   0.159924E+08   0.159924E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574220E+00   0.105382E+08   0.105382E+08   0.720981E-02
   0.688258E-05   0.119958E+08   0.119958E+08   0.159923E+08   0.159923E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574220E+00   0.105382E+08   0.105382E+08   0.745419E-02
   0.711586E-05   0.119958E+08   0.119958E+08   0.159922E+08   0.159922E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574220E+00   0.105382E+08   0.105382E+08   0.770684E-02
   0.735706E-05   0.119958E+08   0.119958E+08   0.159920E+08   0.159920E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574219E+00   0.105382E+08   0.105382E+08   0.796806E-02
   0.760642E-05   0.119958E+08   0.119958E+08   0.159919E+08   0.159919E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574219E+00   0.105382E+08   0.105382E+08   0.823814E-02
   0.786424E-05   0.119958E+08   0.119958E+08   0.159917E+08   0.159917E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574219E+00   0.105382E+08   0.105382E+08   0.851736E-02
   0.813080E-05   0.119958E+08   0.119958E+08   0.159915E+08   0.159915E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574219E+00   0.105382E+08   0.105382E+08   0.880606E-02
   0.840640E-05   0.119958E+08   0.119958E+08   0.159913E+08   0.159913E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574219E+00   0.105382E+08   0.105382E+08   0.910453E-02
   0.869133E-05   0.119958E+08   0.119958E+08   0.159911E+08   0.159911E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574219E+00   0.105382E+08   0.105382E+08   0.941312E-02
   0.898593E-05   0.119958E+08   0.119958E+08   0.159909E+08   0.159909E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574219E+00   0.105382E+08   0.105382E+08   0.973218E-02
   0.929051E-05   0.119958E+08   0.119958E+08   0.159906E+08   0.159906E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574219E+00   0.105382E+08   0.105382E+08   0.100620E-01
   0.960541E-05   0.119958E+08   0.119958E+08   0.159904E+08   0.159904E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574219E+00   0.105382E+08   0.105382E+08   0.104031E-01
   0.993099E-05   0.119958E+08   0.119958E+08   0.159901E+08   0.159901E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574219E+00   0.105382E+08   0.105382E+08   0.107557E-01
   0.102676E-04   0.119958E+08   0.119958E+08   0.159898E+08   0.159898E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574219E+00   0.105381E+08   0.105381E+08   0.111202E-01
   0.106156E-04   0.119958E+08   0.119958E+08   0.159895E+08   0.159895E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574219E+00   0.105381E+08   0.105381E+08   0.114972E-01
   0.109754E-04   0.119958E+08   0.119958E+08   0.159892E+08   0.159891E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574219E+00   0.105381E+08   0.105381E+08   0.118868E-01
   0.113475E-04   0.119958E+08   0.119958E+08   0.159888E+08   0.159888E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574219E+00   0.105381E+08   0.105381E+08   0.122897E-01
   0.117321E-04   0.119958E+08   0.119958E+08   0.159884E+08   0.159884E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574219E+00   0.105381E+08   0.105381E+08   0.127063E-01
   0.121297E-04   0.119958E+08   0.119958E+08   0.159880E+08   0.159880E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574219E+00   0.105381E+08   0.105381E+08   0.131369E-01
   0.125409E-04   0.119958E+08   0.119958E+08   0.159876E+08   0.159876E+08   0.000000E+00   0.119958E+08   0.119958E+08   0.120051E+08  -0.574219E+00   0.105381E+08   0.105381E+08   0.135822E-01
   0.129659E-04   0.119957E+08   0.119957E+08   0.159871E+08   0.159871E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120051E+08  -0.574219E+00   0.105381E+08   0.105381E+08   0.140425E-01
   0.134054E-04   0.119957E+08   0.119957E+08   0.159866E+08   0.159866E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120051E+08  -0.574219E+00   0.105381E+08   0.105381E+08   0.145185E-01
   0.138598E-04   0.119957E+08   0.119957E+08   0.159861E+08   0.159860E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120051E+08  -0.574218E+00   0.105381E+08   0.105381E+08   0.150106E-01
   0.143296E-04   0.119957E+08   0.119957E+08   0.159855E+08   0.159855E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120051E+08  -0.574218E+00   0.105381E+08   0.105381E+08   0.155193E-01
   0.148153E-04   0.119957E+08   0.119957E+08   0.159849E+08   0.159849E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120051E+08  -0.574218E+00   0.105381E+08   0.105381E+08   0.160453E-01
   0.153175E-04   0.119957E+08   0.119957E+08   0.159842E+08   0.159842E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120051E+08  -0.574218E+00   0.105381E+08   0.105381E+08   0.165891E-01
   0.158366E-04   0.119957E+08   0.119957E+08   0.159835E+08   0.159835E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120051E+08  -0.574218E+00   0.105381E+08   0.105381E+08   0.171514E-01
   0.163734E-04   0.119957E+08   0.119957E+08   0.159828E+08   0.159828E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120051E+08  -0.574218E+00   0.105381E+08   0.105381E+08   0.177327E-01
   0.169284E-04   0.119957E+08   0.119957E+08   0.159820E+08   0.159820E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120051E+08  -0.574218E+00   0.105381E+08   0.105381E+08   0.183337E-01
   0.175022E-04   0.119957E+08   0.119957E+08   0.159811E+08   0.159811E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120051E+08  -0.574217E+00   0.105381E+08   0.105381E+08   0.189550E-01
   0.180954E-04   0.119957E+08   0.119957E+08   0.159802E+08   0.159802E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120051E+08  -0.574217E+00   0.105381E+08   0.105381E+08   0.195975E-01
   0.187088E-04   0.119957E+08   0.119957E+08   0.159792E+08   0.159792E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120051E+08  -0.574217E+00   0.105381E+08   0.105381E+08   0.202617E-01
   0.193429E-04   0.119957E+08   0.119957E+08   0.159782E+08   0.159782E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120051E+08  -0.574217E+00   0.105381E+08   0.105381E+08   0.209483E-01
   0.199986E-04   0.119957E+08   0.119957E+08   0.159771E+08   0.159770E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120051E+08  -0.574217E+00   0.105381E+08   0.105381E+08   0.216583E-01
   0.206764E-04   0.119957E+08   0.119957E+08   0.159759E+08   0.159759E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120050E+08  -0.574217E+00   0.105381E+08   0.105381E+08   0.223923E-01
   0.213772E-04   0.119957E+08   0.119957E+08   0.159746E+08   0.159746E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120050E+08  -0.574216E+00   0.105381E+08   0.105381E+08   0.231512E-01
   0.221018E-04   0.119957E+08   0.119957E+08   0.159733E+08   0.159732E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120050E+08  -0.574216E+00   0.105381E+08   0.105381E+08   0.239358E-01
   0.228510E-04   0.119957E+08   0.119957E+08   0.159718E+08   0.159718E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120050E+08  -0.574216E+00   0.105381E+08   0.105381E+08   0.247470E-01
   0.236255E-04   0.119957E+08   0.119957E+08   0.159703E+08   0.159702E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120050E+08  -0.574216E+00   0.105381E+08   0.105381E+08   0.255857E-01
   0.244263E-04   0.119957E+08   0.119957E+08   0.159686E+08   0.159685E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120050E+08  -0.574215E+00   0.105381E+08   0.105381E+08   0.264527E-01
   0.252542E-04   0.119957E+08   0.119957E+08   0.159668E+08   0.159668E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120050E+08  -0.574215E+00   0.105381E+08   0.105381E+08   0.273492E-01
   0.261102E-04   0.119957E+08   0.119957E+08   0.159649E+08   0.159649E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120050E+08  -0.574215E+00   0.105381E+08   0.105381E+08   0.282760E-01
   0.269952E-04   0.119957E+08   0.119957E+08   0.159629E+08   0.159628E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120050E+08  -0.574214E+00   0.105381E+08   0.105381E+08   0.292342E-01
   0.279102E-04   0.119957E+08   0.119957E+08   0.159607E+08   0.159607E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120050E+08  -0.574214E+00   0.105381E+08   0.105381E+08   0.302249E-01
   0.288562E-04   0.119957E+08   0.119957E+08   0.159584E+08   0.159583E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120050E+08  -0.574213E+00   0.105381E+08   0.105381E+08   0.312491E-01
   0.298343E-04   0.119957E+08   0.119957E+08   0.159560E+08   0.159559E+08   0.000000E+00   0.119957E+08   0.119957E+08   0.120050E+08  -0.574213E+00   0.105381E+08   0.105381E+08   0.323080E-01
   0.308456E-04   0.119956E+08   0.119956E+08   0.159533E+08   0.159532E+08   0.000000E+00   0.119956E+08   0.119956E+08   0.120050E+08  -0.574212E+00   0.105381E+08   0.105381E+08   0.334028E-01
   0.318911E-04   0.119956E+08   0.119956E+08   0.159505E+08   0.159504E+08   0.000000E+00   0.119956E+08   0.119956E+08   0.120050E+08  -0.574212E+00   0.105380E+08   0.105380E+08   0.345346E-01
