#           k/h    P           
    0.54502E-05    0.38972E-02
    0.56350E-05    0.40242E-02
    0.58260E-05    0.41554E-02
    0.60234E-05    0.42907E-02
    0.62276E-05    0.44305E-02
    0.64387E-05    0.45749E-02
    0.66569E-05    0.47240E-02
    0.68826E-05    0.48779E-02
    0.71159E-05    0.50368E-02
    0.73571E-05    0.52009E-02
    0.76064E-05    0.53704E-02
    0.78642E-05    0.55454E-02
    0.81308E-05    0.57261E-02
    0.84064E-05    0.59126E-02
    0.86913E-05    0.61053E-02
    0.89859E-05    0.63042E-02
    0.92905E-05    0.65096E-02
    0.96054E-05    0.67217E-02
    0.99310E-05    0.69407E-02
    0.10268E-04    0.71669E-02
    0.10616E-04    0.74004E-02
    0.10975E-04    0.76415E-02
    0.11347E-04    0.78905E-02
    0.11732E-04    0.81476E-02
    0.12130E-04    0.84131E-02
    0.12541E-04    0.86872E-02
    0.12966E-04    0.89703E-02
    0.13405E-04    0.92625E-02
    0.13860E-04    0.95643E-02
    0.14330E-04    0.98760E-02
    0.14815E-04    0.10198E-01
    0.15317E-04    0.10530E-01
    0.15837E-04    0.10873E-01
    0.16373E-04    0.11227E-01
    0.16928E-04    0.11593E-01
    0.17502E-04    0.11971E-01
    0.18095E-04    0.12361E-01
    0.18709E-04    0.12764E-01
    0.19343E-04    0.13180E-01
    0.19999E-04    0.13609E-01
    0.20676E-04    0.14053E-01
    0.21377E-04    0.14510E-01
    0.22102E-04    0.14983E-01
    0.22851E-04    0.15471E-01
    0.23625E-04    0.15975E-01
    0.24426E-04    0.16496E-01
    0.25254E-04    0.17033E-01
    0.26110E-04    0.17588E-01
    0.26995E-04    0.18162E-01
    0.27910E-04    0.18753E-01
    0.28856E-04    0.19364E-01
    0.29834E-04    0.19995E-01
    0.30846E-04    0.20647E-01
    0.31891E-04    0.21319E-01
    0.32972E-04    0.22014E-01
    0.34090E-04    0.22731E-01
    0.35245E-04    0.23472E-01
    0.36440E-04    0.24237E-01
    0.37675E-04    0.25027E-01
    0.38952E-04    0.25842E-01
    0.40272E-04    0.26684E-01
    0.41637E-04    0.27553E-01
    0.43048E-04    0.28451E-01
    0.44508E-04    0.29378E-01
    0.46016E-04    0.30335E-01
    0.47576E-04    0.31324E-01
    0.49188E-04    0.32344E-01
    0.50856E-04    0.33398E-01
    0.52580E-04    0.34486E-01
    0.54362E-04    0.35610E-01
    0.56204E-04    0.36770E-01
    0.58109E-04    0.37968E-01
    0.60079E-04    0.39205E-01
    0.62115E-04    0.40483E-01
    0.64221E-04    0.41802E-01
    0.66398E-04    0.43164E-01
    0.68648E-04    0.44570E-01
    0.70975E-04    0.46022E-01
    0.73381E-04    0.47522E-01
    0.75868E-04    0.49070E-01
    0.78439E-04    0.50669E-01
    0.81098E-04    0.52320E-01
    0.83847E-04    0.54024E-01
    0.86689E-04    0.55784E-01
    0.89627E-04    0.57602E-01
    0.92665E-04    0.59478E-01
    0.95806E-04    0.61416E-01
    0.99053E-04    0.63417E-01
    0.10241E-03    0.65483E-01
    0.10588E-03    0.67617E-01
    0.10947E-03    0.69820E-01
    0.11318E-03    0.72094E-01
    0.11702E-03    0.74443E-01
    0.12098E-03    0.76868E-01
    0.12508E-03    0.79372E-01
    0.12932E-03    0.81958E-01
    0.13371E-03    0.84628E-01
    0.13824E-03    0.87385E-01
    0.14293E-03    0.90232E-01
    0.14777E-03    0.93171E-01
    0.15278E-03    0.96206E-01
    0.15796E-03    0.99340E-01
    0.16331E-03    0.10258E+00
    0.16885E-03    0.10592E+00
    0.17457E-03    0.10937E+00
    0.18049E-03    0.11293E+00
    0.18660E-03    0.11661E+00
    0.19293E-03    0.12041E+00
    0.19947E-03    0.12433E+00
    0.20623E-03    0.12838E+00
    0.21322E-03    0.13256E+00
    0.22045E-03    0.13688E+00
    0.22792E-03    0.14133E+00
    0.23565E-03    0.14594E+00
    0.24363E-03    0.15069E+00
    0.25189E-03    0.15559E+00
    0.26043E-03    0.16066E+00
    0.26926E-03    0.16589E+00
    0.27838E-03    0.17129E+00
    0.28782E-03    0.17687E+00
    0.29757E-03    0.18263E+00
    0.30766E-03    0.18857E+00
    0.31809E-03    0.19471E+00
    0.32887E-03    0.20105E+00
    0.34002E-03    0.20759E+00
    0.35154E-03    0.21435E+00
    0.36346E-03    0.22132E+00
    0.37578E-03    0.22853E+00
    0.38851E-03    0.23596E+00
    0.40168E-03    0.24364E+00
    0.41530E-03    0.25156E+00
    0.42937E-03    0.25974E+00
    0.44393E-03    0.26819E+00
    0.45897E-03    0.27691E+00
    0.47453E-03    0.28591E+00
    0.49062E-03    0.29521E+00
