#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_tot                  7:phi                    8:psi                
       1.594508361722e-05      -3.013756500500e-03      -2.263010769703e-03      -2.263010941681e-03      -2.263107724372e-03      -2.263141637002e-03       4.742026363415e-01       4.741163433601e-01 
       1.631649232683e-05      -3.155612936280e-03      -2.369662873555e-03      -2.369663062124e-03      -2.369763727836e-03      -2.369799877381e-03       4.742025601826e-01       4.741162741213e-01 
       1.669655225665e-05      -3.304137771936e-03      -2.481341329294e-03      -2.481341536053e-03      -2.481446202355e-03      -2.481484755858e-03       4.742024847896e-01       4.741162059624e-01 
       1.708546491948e-05      -3.459643551589e-03      -2.598282958703e-03      -2.598283185410e-03      -2.598391969104e-03      -2.598433107416e-03       4.742023986423e-01       4.741161274061e-01 
       1.748343652196e-05      -3.622457565822e-03      -2.720735879956e-03      -2.720736128531e-03      -2.720849144997e-03      -2.720893064022e-03       4.742023153812e-01       4.741160520798e-01 
       1.789067807391e-05      -3.792922189134e-03      -2.848959776578e-03      -2.848960049130e-03      -2.849077411598e-03      -2.849124323613e-03       4.742022255098e-01       4.741159705079e-01 
       1.830740550019e-05      -3.971395876166e-03      -2.983226669972e-03      -2.983226968820e-03      -2.983348787539e-03      -2.983398922664e-03       4.742021365767e-01       4.741158902861e-01 
       1.873383975518e-05      -4.158253521671e-03      -3.123821224248e-03      -3.123821551925e-03      -3.123947933214e-03      -3.124001540999e-03       4.742020282964e-01       4.741157911165e-01 
       1.917020693999e-05      -4.353887832814e-03      -3.271041794977e-03      -3.271042154259e-03      -3.271173199441e-03      -3.271230550632e-03       4.742019230211e-01       4.741156953722e-01 
       1.961673842226e-05      -4.558709554351e-03      -3.425200633440e-03      -3.425201027378e-03      -3.425336831580e-03      -3.425398220013e-03       4.742018172829e-01       4.741155996226e-01 
       2.007367095890e-05      -4.773148578088e-03      -3.586624756581e-03      -3.586625188527e-03      -3.586765839347e-03      -3.586831584019e-03       4.742017146991e-01       4.741155075098e-01 
       2.054124682160e-05      -4.997654419479e-03      -3.755656348646e-03      -3.755656822251e-03      -3.755802398204e-03      -3.755872845580e-03       4.742015875146e-01       4.741153912584e-01 
       2.101971392525e-05      -5.232698158205e-03      -3.932654236762e-03      -3.932654756063e-03      -3.932805324928e-03      -3.932880851412e-03       4.742014738418e-01       4.741152890736e-01 
       2.150932595945e-05      -5.478771848137e-03      -4.117993533326e-03      -4.117994102709e-03      -4.118149719580e-03      -4.118230734256e-03       4.742013348978e-01       4.741151621154e-01 
       2.201034252299e-05      -5.736391012126e-03      -4.312067512221e-03      -4.312068136535e-03      -4.312228841743e-03      -4.312315789330e-03       4.742011900049e-01       4.741150298062e-01 
       2.252302926148e-05      -6.006094894589e-03      -4.515287897115e-03      -4.515288581649e-03      -4.515454398347e-03      -4.515547762499e-03       4.742010472241e-01       4.741149001831e-01 
       2.304765800820e-05      -6.288447751523e-03      -4.728085860737e-03      -4.728086611305e-03      -4.728257542854e-03      -4.728357849695e-03       4.742009180404e-01       4.741147847802e-01 
       2.358450692828e-05      -6.584039103340e-03      -4.950912303327e-03      -4.950913126284e-03      -4.951089153259e-03      -4.951196975293e-03       4.742007556288e-01       4.741146367853e-01 
       2.413386066610e-05      -6.893486748551e-03      -5.184240162807e-03      -5.184241065147e-03      -5.184422142115e-03      -5.184538102476e-03       4.742005913495e-01       4.741144876114e-01 
       2.469601049630e-05      -7.217436432099e-03      -5.428564266494e-03      -5.428565255883e-03      -5.428751307690e-03      -5.428876084854e-03       4.742004176221e-01       4.741143297078e-01 
       2.527125447816e-05      -7.556563935410e-03      -5.684402991021e-03      -5.684404075841e-03      -5.684594993598e-03      -5.684729326465e-03       4.742002470475e-01       4.741141756866e-01 
       2.585989761364e-05      -7.911575612835e-03      -5.952298737199e-03      -5.952299926656e-03      -5.952495563204e-03      -5.952640256698e-03       4.742000581444e-01       4.741140041273e-01 
       2.646225200914e-05      -8.283210781441e-03      -6.232819863560e-03      -6.232821167732e-03      -6.233021332664e-03      -6.233177263853e-03       4.741998624466e-01       4.741138265678e-01 
