#           k/h    P           
    0.54459E-05    0.27119E+02
    0.56305E-05    0.28002E+02
    0.58214E-05    0.28915E+02
    0.60187E-05    0.29857E+02
    0.62227E-05    0.30829E+02
    0.64336E-05    0.31834E+02
    0.66517E-05    0.32871E+02
    0.68771E-05    0.33942E+02
    0.71102E-05    0.35048E+02
    0.73512E-05    0.36190E+02
    0.76004E-05    0.37369E+02
    0.78580E-05    0.38587E+02
    0.81244E-05    0.39844E+02
    0.83998E-05    0.41142E+02
    0.86845E-05    0.42483E+02
    0.89788E-05    0.43867E+02
    0.92832E-05    0.45297E+02
    0.95978E-05    0.46772E+02
    0.99231E-05    0.48296E+02
    0.10259E-04    0.49870E+02
    0.10607E-04    0.51495E+02
    0.10967E-04    0.53173E+02
    0.11338E-04    0.54905E+02
    0.11723E-04    0.56694E+02
    0.12120E-04    0.58542E+02
    0.12531E-04    0.60449E+02
    0.12956E-04    0.62419E+02
    0.13395E-04    0.64452E+02
    0.13849E-04    0.66552E+02
    0.14318E-04    0.68721E+02
    0.14804E-04    0.70960E+02
    0.15305E-04    0.73272E+02
    0.15824E-04    0.75659E+02
    0.16360E-04    0.78124E+02
    0.16915E-04    0.80670E+02
    0.17488E-04    0.83298E+02
    0.18081E-04    0.86012E+02
    0.18694E-04    0.88815E+02
    0.19328E-04    0.91709E+02
    0.19983E-04    0.94697E+02
    0.20660E-04    0.97782E+02
    0.21360E-04    0.10097E+03
    0.22084E-04    0.10426E+03
    0.22833E-04    0.10765E+03
    0.23607E-04    0.11116E+03
    0.24407E-04    0.11478E+03
    0.25234E-04    0.11852E+03
    0.26090E-04    0.12239E+03
    0.26974E-04    0.12637E+03
    0.27888E-04    0.13049E+03
    0.28833E-04    0.13474E+03
    0.29811E-04    0.13913E+03
    0.30821E-04    0.14367E+03
    0.31866E-04    0.14835E+03
    0.32946E-04    0.15318E+03
    0.34063E-04    0.15817E+03
    0.35217E-04    0.16332E+03
    0.36411E-04    0.16865E+03
    0.37645E-04    0.17414E+03
    0.38921E-04    0.17981E+03
    0.40240E-04    0.18567E+03
    0.41604E-04    0.19172E+03
    0.43014E-04    0.19797E+03
    0.44472E-04    0.20442E+03
    0.45980E-04    0.21108E+03
    0.47538E-04    0.21795E+03
    0.49150E-04    0.22506E+03
    0.50816E-04    0.23239E+03
    0.52538E-04    0.23996E+03
    0.54319E-04    0.24778E+03
    0.56160E-04    0.25585E+03
    0.58063E-04    0.26418E+03
    0.60032E-04    0.27279E+03
    0.62066E-04    0.28168E+03
    0.64170E-04    0.29085E+03
    0.66345E-04    0.30033E+03
    0.68594E-04    0.31011E+03
    0.70919E-04    0.32021E+03
    0.73323E-04    0.33065E+03
    0.75808E-04    0.34142E+03
    0.78377E-04    0.35254E+03
    0.81034E-04    0.36402E+03
    0.83781E-04    0.37588E+03
    0.86621E-04    0.38812E+03
    0.89557E-04    0.40076E+03
    0.92592E-04    0.41382E+03
    0.95730E-04    0.42729E+03
    0.98975E-04    0.44121E+03
    0.10233E-03    0.45558E+03
    0.10580E-03    0.47042E+03
    0.10938E-03    0.48574E+03
    0.11309E-03    0.50156E+03
    0.11693E-03    0.51789E+03
    0.12089E-03    0.53475E+03
    0.12499E-03    0.55216E+03
    0.12922E-03    0.57014E+03
    0.13360E-03    0.58870E+03
    0.13813E-03    0.60787E+03
    0.14281E-03    0.62766E+03
    0.14765E-03    0.64809E+03
    0.15266E-03    0.66919E+03
    0.15783E-03    0.69097E+03
    0.16318E-03    0.71346E+03
    0.16871E-03    0.73667E+03
    0.17443E-03    0.76065E+03
    0.18034E-03    0.78540E+03
    0.18646E-03    0.81095E+03
    0.19278E-03    0.83733E+03
    0.19931E-03    0.86457E+03
    0.20607E-03    0.89269E+03
    0.21305E-03    0.92172E+03
    0.22027E-03    0.95169E+03
    0.22774E-03    0.98263E+03
    0.23546E-03    0.10146E+04
    0.24344E-03    0.10475E+04
    0.25169E-03    0.10816E+04
    0.26022E-03    0.11167E+04
    0.26904E-03    0.11530E+04
    0.27816E-03    0.11904E+04
    0.28759E-03    0.12291E+04
    0.29734E-03    0.12690E+04
    0.30742E-03    0.13102E+04
    0.31784E-03    0.13527E+04
    0.32861E-03    0.13966E+04
    0.33975E-03    0.14419E+04
