#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_tot                  7:phi                    8:psi                
       1.053481227383e-05      -1.590048145556e-05      -1.192541110122e-05      -1.192541152438e-05      -1.402744569125e-05      -1.202738673396e-05       6.116614829642e-01       5.974335371860e-01 
       1.078019957481e-05      -1.664984450845e-05      -1.248743821570e-05      -1.248743867970e-05      -1.468853593875e-05      -1.259421972747e-05       6.116614659836e-01       5.974335249366e-01 
       1.103130268029e-05      -1.743452366700e-05      -1.307595287493e-05      -1.307595338369e-05      -1.538078217901e-05      -1.318776675204e-05       6.116614509349e-01       5.974335144965e-01 
       1.128825472847e-05      -1.825618323215e-05      -1.369220334951e-05      -1.369220390735e-05      -1.610565266629e-05      -1.380928675104e-05       6.116614346612e-01       5.974335031410e-01 
       1.155119195872e-05      -1.911656489173e-05      -1.433749595454e-05      -1.433749656620e-05      -1.686468392618e-05      -1.446009720856e-05       6.116613847032e-01       5.974334568307e-01 
       1.182025378385e-05      -2.001749701095e-05      -1.501320201794e-05      -1.501320268862e-05      -1.765948895191e-05      -1.514158117734e-05       6.116614024697e-01       5.974334811122e-01 
       1.209558286399e-05      -2.096088559918e-05      -1.572075110594e-05      -1.572075184132e-05      -1.849174923464e-05      -1.585518044614e-05       6.116613455926e-01       5.974334285789e-01 
       1.237732518227e-05      -2.194873703878e-05      -1.646164807022e-05      -1.646164887655e-05      -1.936323481561e-05      -1.660241273291e-05       6.116613626888e-01       5.974334530510e-01 
       1.266563012220e-05      -2.298314247262e-05      -1.723746133910e-05      -1.723746222323e-05      -2.027579051260e-05      -1.738485987559e-05       6.116613427595e-01       5.974334393639e-01 
       1.296065054687e-05      -2.406629563002e-05      -1.804983628762e-05      -1.804983725704e-05      -2.123135164623e-05      -1.820418131665e-05       6.116612825289e-01       5.974333843993e-01 
       1.326254288001e-05      -2.520049716893e-05      -1.890049849482e-05      -1.890049955777e-05      -2.223194786971e-05      -1.906211738811e-05       6.116612604197e-01       5.974333691602e-01 
       1.357146718894e-05      -2.638815120248e-05      -1.979125113937e-05      -1.979125230487e-05      -2.327970010611e-05      -1.996048668496e-05       6.116612372133e-01       5.974333530252e-01 
       1.388758726941e-05      -2.763177676938e-05      -2.072398360318e-05      -2.072398488113e-05      -2.437683066689e-05      -2.090119474227e-05       6.116612121003e-01       5.974333353893e-01 
       1.421107073247e-05      -2.893401165893e-05      -2.170067434105e-05      -2.170067574229e-05      -2.552566662640e-05      -2.188623692932e-05       6.116611857498e-01       5.974333168786e-01 
