#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.544594E-05   0.152224E+08   0.152224E+08   0.202945E+08   0.202945E+08   0.152243E+08   0.152225E+08   0.152224E+08   0.152278E+08  -0.546090E+00   0.116302E+08   0.116302E+08   0.454016E-02
   0.563053E-05   0.152224E+08   0.152224E+08   0.202943E+08   0.202943E+08   0.152243E+08   0.152225E+08   0.152224E+08   0.152278E+08  -0.546090E+00   0.116302E+08   0.116302E+08   0.469405E-02
   0.582137E-05   0.152224E+08   0.152224E+08   0.202942E+08   0.202942E+08   0.152243E+08   0.152225E+08   0.152224E+08   0.152278E+08  -0.546090E+00   0.116302E+08   0.116302E+08   0.485315E-02
   0.601869E-05   0.152224E+08   0.152224E+08   0.202940E+08   0.202940E+08   0.152243E+08   0.152225E+08   0.152224E+08   0.152278E+08  -0.546090E+00   0.116302E+08   0.116302E+08   0.501765E-02
   0.622269E-05   0.152224E+08   0.152224E+08   0.202938E+08   0.202938E+08   0.152243E+08   0.152225E+08   0.152224E+08   0.152278E+08  -0.546090E+00   0.116302E+08   0.116302E+08   0.518772E-02
   0.643361E-05   0.152224E+08   0.152224E+08   0.202936E+08   0.202936E+08   0.152243E+08   0.152225E+08   0.152224E+08   0.152278E+08  -0.546090E+00   0.116302E+08   0.116302E+08   0.536356E-02
   0.665168E-05   0.152224E+08   0.152224E+08   0.202934E+08   0.202934E+08   0.152243E+08   0.152225E+08   0.152224E+08   0.152278E+08  -0.546090E+00   0.116302E+08   0.116302E+08   0.554535E-02
   0.687714E-05   0.152224E+08   0.152224E+08   0.202932E+08   0.202932E+08   0.152243E+08   0.152225E+08   0.152224E+08   0.152278E+08  -0.546090E+00   0.116302E+08   0.116302E+08   0.573331E-02
   0.711024E-05   0.152224E+08   0.152224E+08   0.202930E+08   0.202930E+08   0.152243E+08   0.152225E+08   0.152224E+08   0.152278E+08  -0.546089E+00   0.116302E+08   0.116302E+08   0.592764E-02
   0.735124E-05   0.152224E+08   0.152224E+08   0.202927E+08   0.202927E+08   0.152243E+08   0.152225E+08   0.152224E+08   0.152278E+08  -0.546089E+00   0.116302E+08   0.116302E+08   0.612855E-02
   0.760042E-05   0.152224E+08   0.152224E+08   0.202925E+08   0.202925E+08   0.152243E+08   0.152225E+08   0.152224E+08   0.152278E+08  -0.546089E+00   0.116302E+08   0.116302E+08   0.633627E-02
   0.785803E-05   0.152224E+08   0.152224E+08   0.202922E+08   0.202922E+08   0.152243E+08   0.152225E+08   0.152224E+08   0.152278E+08  -0.546089E+00   0.116302E+08   0.116302E+08   0.655104E-02
   0.812438E-05   0.152224E+08   0.152224E+08   0.202919E+08   0.202919E+08   0.152243E+08   0.152225E+08   0.152224E+08   0.152278E+08  -0.546089E+00   0.116302E+08   0.116302E+08   0.677308E-02
   0.839976E-05   0.152224E+08   0.152224E+08   0.202916E+08   0.202916E+08   0.152243E+08   0.152225E+08   0.152224E+08   0.152278E+08  -0.546089E+00   0.116302E+08   0.116302E+08   0.700265E-02
   0.868447E-05   0.152224E+08   0.152224E+08   0.202912E+08   0.202912E+08   0.152243E+08   0.152224E+08   0.152224E+08   0.152278E+08  -0.546089E+00   0.116302E+08   0.116302E+08   0.724000E-02
